Pants Size Waist,Bra Size NL
31.0,75.0
28.0,75.0
30.0,75.0
34.0,80.0
30.0,75.0
32.0,70.0
29.0,75.0
30.0,80.0
42.0,75.0
31.0,95.0
28.0,70.0
31.0,80.0
28.0,75.0
34.0,80.0
30.0,75.0
29.0,75.0
38.0,90.0
28.0,75.0
31.0,75.0
30.0,75.0
32.0,80.0
31.0,80.0
31.0,80.0
30.0,85.0
31.0,85.0
42.0,100.0
33.0,85.0
28.0,75.0
31.0,75.0
29.0,85.0
34.0,85.0
42.0,95.0
32.0,80.0
36.0,100.0
28.0,70.0
32.0,75.0
40.0,95.0
31.0,80.0
34.0,80.0
32.0,80.0
32.0,85.0
30.0,80.0
30.0,75.0
32.0,75.0
33.0,85.0
34.0,90.0
31.0,85.0
29.0,80.0
33.0,75.0
30.0,75.0
36.0,85.0
33.0,80.0
33.0,75.0
40.0,95.0
32.0,85.0
30.0,70.0
30.0,70.0
33.0,85.0
32.0,80.0
33.0,85.0
28.0,75.0
32.0,75.0
28.0,85.0
32.0,80.0
32.0,75.0
30.0,80.0
30.0,75.0
32.0,75.0
34.0,80.0
32.0,85.0
33.0,80.0
40.0,100.0
31.0,85.0
32.0,85.0
30.0,80.0
34.0,70.0
30.0,75.0
31.0,75.0
32.0,90.0
31.0,75.0
42.0,90.0
31.0,85.0
30.0,80.0
36.0,80.0
