Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,ratio,Inverted Triangle,Rectangle,Triangle
18.5,183.0,69.0,41.0,Rectangle,1.1156716417910448,0.0,1.0,0.0
33.0,187.0,83.0,43.0,Inverted Triangle,1.1942857142857144,1.0,0.0,0.0
41.0,182.0,85.0,43.0,Inverted Triangle,1.2414201183431952,1.0,0.0,0.0
35.0,195.0,110.0,47.0,Rectangle,1.112962962962963,0.0,1.0,0.0
21.9,177.0,57.0,43.0,Inverted Triangle,1.1770700636942675,1.0,0.0,0.0
23.8,175.0,85.0,43.0,Inverted Triangle,1.1888111888111887,1.0,0.0,0.0
36.4,168.0,66.0,40.0,Inverted Triangle,1.2048040455120101,1.0,0.0,0.0
44.2,171.0,82.0,41.0,Rectangle,1.1111111111111112,0.0,1.0,0.0
43.0,185.0,69.0,44.0,Triangle,1.08584686774942,0.0,0.0,1.0
20.0,187.0,77.0,43.0,Rectangle,1.1604790419161677,0.0,1.0,0.0
20.2,175.0,56.0,41.5,Inverted Triangle,1.2503681885125184,1.0,0.0,0.0
29.0,175.0,80.0,41.0,Rectangle,1.116461366181411,0.0,1.0,0.0
39.0,198.0,90.0,45.0,Triangle,1.0945802337938364,0.0,0.0,1.0
45.0,180.0,70.0,41.0,Rectangle,1.142150803461063,0.0,1.0,0.0
22.7,163.0,55.0,39.0,Inverted Triangle,1.2391891891891893,1.0,0.0,0.0
23.0,196.0,102.7,46.0,Triangle,1.0810536980749748,0.0,0.0,1.0
18.8,165.0,63.0,40.5,Inverted Triangle,1.2340136054421769,1.0,0.0,0.0
35.0,173.0,69.0,40.0,Rectangle,1.1601382488479262,0.0,1.0,0.0
32.0,180.0,81.0,42.0,Inverted Triangle,1.2147887323943662,1.0,0.0,0.0
22.2,186.0,66.0,42.5,Inverted Triangle,1.2755102040816326,1.0,0.0,0.0
45.1,170.0,68.0,41.0,Triangle,1.0601589103291713,0.0,0.0,1.0
28.0,170.0,70.0,42.0,Inverted Triangle,1.2236024844720497,1.0,0.0,0.0
54.5,172.0,74.0,41.5,Triangle,1.0924276169265033,0.0,0.0,1.0
22.4,180.0,69.0,39.5,Inverted Triangle,1.2131578947368422,1.0,0.0,0.0
30.0,182.0,77.0,44.0,Inverted Triangle,1.2147165259348613,1.0,0.0,0.0
30.0,185.0,78.0,43.0,Rectangle,1.1573849878934626,0.0,1.0,0.0
34.0,182.0,85.0,42.0,Inverted Triangle,1.1810436634717785,1.0,0.0,0.0
39.4,170.0,78.0,42.0,Inverted Triangle,1.2488532110091743,1.0,0.0,0.0
25.0,178.0,62.0,42.0,Rectangle,1.14238042269188,0.0,1.0,0.0
20.0,186.0,66.0,42.5,Rectangle,1.1415701415701416,0.0,1.0,0.0
29.6,176.0,60.0,41.0,Rectangle,1.1660026560424968,0.0,1.0,0.0
29.4,177.0,80.0,40.0,Triangle,1.0798687089715535,0.0,0.0,1.0
19.6,185.0,85.0,43.5,Inverted Triangle,1.201111111111111,1.0,0.0,0.0
20.5,169.0,66.0,43.0,Rectangle,1.1610486891385767,0.0,1.0,0.0
23.0,185.0,83.0,45.0,Inverted Triangle,1.2730455075845974,1.0,0.0,0.0
19.8,175.0,70.0,42.5,Inverted Triangle,1.1798029556650247,1.0,0.0,0.0
47.0,180.0,90.0,42.0,Rectangle,1.1637931034482758,0.0,1.0,0.0
23.0,186.0,70.0,44.0,Inverted Triangle,1.2075471698113207,1.0,0.0,0.0
23.7,186.0,75.0,43.5,Inverted Triangle,1.2958280657395702,1.0,0.0,0.0
38.0,188.0,105.0,46.0,Triangle,1.0797373358348967,0.0,0.0,1.0
19.0,180.0,76.0,43.0,Rectangle,1.1289617486338799,0.0,1.0,0.0
22.6,170.0,60.0,42.0,Inverted Triangle,1.2079470198675497,1.0,0.0,0.0
33.0,175.0,80.0,42.0,Triangle,1.09534127843987,0.0,0.0,1.0
24.0,180.0,85.0,41.0,Inverted Triangle,1.2138660399529966,1.0,0.0,0.0
24.8,177.0,75.0,43.0,Inverted Triangle,1.1901840490797546,1.0,0.0,0.0
39.0,175.0,69.0,43.0,Inverted Triangle,1.1865482233502538,1.0,0.0,0.0
61.0,187.0,110.0,44.0,Triangle,1.0417853751187085,0.0,0.0,1.0
54.0,181.0,81.0,43.0,Triangle,1.033402922755741,0.0,0.0,1.0
29.0,193.0,77.0,45.0,Inverted Triangle,1.3400537634408602,1.0,0.0,0.0
23.1,179.0,64.0,41.5,Rectangle,1.13727959697733,0.0,1.0,0.0
24.3,168.0,60.0,41.0,Inverted Triangle,1.2592087312414735,1.0,0.0,0.0
48.0,191.0,98.0,43.0,Inverted Triangle,1.2112526539278132,1.0,0.0,0.0
46.0,179.0,78.0,43.0,Rectangle,1.1428571428571428,0.0,1.0,0.0
18.5,173.0,71.0,43.0,Inverted Triangle,1.3078880407124682,1.0,0.0,0.0
23.5,180.0,66.3,42.5,Inverted Triangle,1.2222222222222223,1.0,0.0,0.0
22.6,177.0,67.0,42.5,Inverted Triangle,1.1889862327909888,1.0,0.0,0.0
19.5,170.0,60.0,42.5,Rectangle,1.1251564455569463,0.0,1.0,0.0
53.0,183.0,70.0,43.0,Inverted Triangle,1.1713554987212276,1.0,0.0,0.0
40.0,203.0,80.0,47.5,Triangle,0.9989517819706499,0.0,0.0,1.0
40.0,180.0,96.0,43.0,Triangle,1.0824949698189135,0.0,0.0,1.0
27.5,180.0,80.0,43.0,Inverted Triangle,1.1711924439197166,1.0,0.0,0.0
24.0,184.0,70.0,44.0,Rectangle,1.1588089330024813,0.0,1.0,0.0
27.1,173.0,71.0,42.5,Inverted Triangle,1.2207317073170731,1.0,0.0,0.0
26.3,182.0,83.0,42.5,Inverted Triangle,1.311960542540074,1.0,0.0,0.0
22.4,167.0,59.0,39.0,Inverted Triangle,1.2303523035230353,1.0,0.0,0.0
26.0,173.0,70.0,42.0,Inverted Triangle,1.2106567534076829,1.0,0.0,0.0
56.0,189.0,81.0,44.0,Rectangle,1.1233333333333333,0.0,1.0,0.0
27.3,176.0,63.0,42.0,Inverted Triangle,1.2037037037037037,1.0,0.0,0.0
47.0,169.0,102.0,41.0,Rectangle,1.1315261044176708,0.0,1.0,0.0
30.0,188.0,88.0,46.0,Rectangle,1.1224489795918366,0.0,1.0,0.0
19.0,195.0,85.0,46.0,Triangle,1.0912951167728238,0.0,0.0,1.0
53.0,190.0,82.0,44.0,Rectangle,1.1132075471698113,0.0,1.0,0.0
45.0,185.0,104.0,43.5,Triangle,1.0620300751879699,0.0,0.0,1.0
57.0,186.0,87.0,43.0,Triangle,1.071578947368421,0.0,0.0,1.0
20.4,174.0,71.0,42.0,Inverted Triangle,1.1749049429657794,1.0,0.0,0.0
23.4,182.0,71.0,42.0,Inverted Triangle,1.2320777642770353,1.0,0.0,0.0
22.0,180.0,60.0,42.0,Inverted Triangle,1.2489019033674964,1.0,0.0,0.0
38.0,182.0,81.0,42.0,Rectangle,1.1406593406593406,0.0,1.0,0.0
21.2,170.0,68.0,42.0,Triangle,1.0925925925925926,0.0,0.0,1.0
37.0,203.0,85.0,46.0,Triangle,1.0740740740740742,0.0,0.0,1.0
50.0,171.0,68.0,41.0,Inverted Triangle,1.1975308641975309,1.0,0.0,0.0
19.7,176.0,60.0,43.0,Rectangle,1.1217391304347826,0.0,1.0,0.0
21.9,174.0,68.0,40.0,Rectangle,1.140947752126367,0.0,1.0,0.0
27.0,189.0,85.0,42.0,Rectangle,1.1529933481152994,0.0,1.0,0.0
50.0,173.0,90.0,43.0,Triangle,1.0683918669131238,0.0,0.0,1.0
40.0,203.0,115.0,46.0,Triangle,1.108803165182987,0.0,0.0,1.0
19.2,170.0,56.0,41.0,Triangle,1.1096605744125327,0.0,0.0,1.0
20.0,178.0,78.0,43.0,Rectangle,1.1244186046511628,0.0,1.0,0.0
23.7,170.0,70.0,41.0,Inverted Triangle,1.2659033078880406,1.0,0.0,0.0
22.7,175.0,58.0,43.0,Triangle,1.0990752972258917,0.0,0.0,1.0
26.3,173.0,65.0,43.5,Inverted Triangle,1.2653333333333334,1.0,0.0,0.0
35.8,173.0,90.0,43.0,Triangle,1.083248730964467,0.0,0.0,1.0
59.5,174.0,70.0,41.5,Triangle,1.0982857142857143,0.0,0.0,1.0
28.0,175.0,82.0,42.0,Rectangle,1.1531631520532741,0.0,1.0,0.0
21.7,180.0,85.0,42.5,Triangle,1.094240837696335,0.0,0.0,1.0
24.2,170.0,61.0,40.5,Rectangle,1.1550387596899225,0.0,1.0,0.0
43.0,184.0,102.0,43.0,Triangle,1.0616698292220115,0.0,0.0,1.0
18.5,175.0,60.0,42.0,Rectangle,1.1655629139072847,0.0,1.0,0.0
43.0,178.0,70.0,43.0,Rectangle,1.114025085518814,0.0,1.0,0.0
39.0,190.0,98.0,45.0,Rectangle,1.1391304347826088,0.0,1.0,0.0
27.0,182.0,80.0,42.0,Inverted Triangle,1.2127167630057802,1.0,0.0,0.0
38.0,195.0,85.0,43.0,Inverted Triangle,1.1889671361502347,1.0,0.0,0.0
31.0,202.0,140.0,49.0,Triangle,0.9572446555819477,0.0,0.0,1.0
48.0,183.0,72.0,43.0,Rectangle,1.1233842538190364,0.0,1.0,0.0
28.0,178.0,72.0,42.0,Rectangle,1.1461077844311378,0.0,1.0,0.0
22.0,176.0,64.0,43.0,Inverted Triangle,1.178477690288714,1.0,0.0,0.0
20.8,176.0,78.0,43.5,Rectangle,1.152793614595211,0.0,1.0,0.0
22.0,190.0,78.0,45.0,Rectangle,1.1148325358851674,0.0,1.0,0.0
28.9,174.0,84.0,40.5,Triangle,1.1013584117032393,0.0,0.0,1.0
59.0,172.0,80.0,41.0,Triangle,1.0735887096774193,0.0,0.0,1.0
25.0,190.0,75.0,43.5,Rectangle,1.166073546856465,0.0,1.0,0.0
