Subject Number,Pants Size Waist,shape
4052,37.4,Rectangle
4749,35.4,Triangle
16674,32,Rectangle
17049,32,Rectangle
16893,31,Rectangle
16373,34,Rectangle
4053,31.5,Inverted Triangle
16073,36,Rectangle
17016,30,Rectangle
16666,31,Rectangle
16881,32,Inverted Triangle
15986,29,Rectangle
4274,63 or Larger,Rectangle
15462,42,Triangle
4398,31.5,Rectangle
4075,31.5,Inverted Triangle
4290,31.5,Inverted Triangle
4585,37.4,Rectangle
4658,33.5,Inverted Triangle
4754,33.5,Inverted Triangle
17077,32,Rectangle
17046,36,Rectangle
16790,32,Inverted Triangle
4110,31.5,Rectangle
4063,33.5,Rectangle
16932,34,Triangle
16646,34,Rectangle
15259,36,Triangle
4220,33.5,Rectangle
4160,31.5,Inverted Triangle
15828,34,Triangle
4499,31.5,Inverted Triangle
15835,38,Rectangle
15638,34,Rectangle
4004,35.4,Rectangle
16585,30,Inverted Triangle
16375,34,Triangle
4113,33.5,Rectangle
16619,29,Rectangle
15825,34,Rectangle
16643,33,Triangle
15396,36,Rectangle
17071,33,Rectangle
4461,37.4,Rectangle
4648,31.5,Inverted Triangle
4515,31.5,Rectangle
4692,41.3,Triangle
4368,43.3,Triangle
15456,29,Triangle
4280,35.4,Inverted Triangle
16751,32,Inverted Triangle
15558,31,Inverted Triangle
4349,29.5,Inverted Triangle
11205,32,Rectangle
15302,34,Triangle
4678,35.4,Rectangle
4411,39.4,Triangle
17057,31,Rectangle
4336,35.4,Rectangle
4547,33.5,Rectangle
14003,36,Triangle
16498,31,Rectangle
4319,37.4,Rectangle
15457,32,Rectangle
4210,35.4,Rectangle
4465,35.4,Rectangle
16371,34,Rectangle
15268,33,Triangle
15834,35,Triangle
16860,34,Triangle
16553,36,Rectangle
11029,38,Triangle
4367,33.5,Rectangle
15483,32,Rectangle
4574,35.4,Inverted Triangle
4780,37.4,Inverted Triangle
4716,No Response,Triangle
4551,31.5,Rectangle
15720,36,Rectangle
4123,31.5,Rectangle
16628,33,Rectangle
4599,31.5,Rectangle
4755,31.5,Inverted Triangle
4594,Don't Know,Inverted Triangle
15814,36,Triangle
16833,34,Rectangle
15287,36,Triangle
15893,33,Rectangle
14001,34,Rectangle
15360,36,Rectangle
4307,31.5,Inverted Triangle
16532,40,Triangle
14036,40,Rectangle
4373,33.5,Rectangle
15366,32,Triangle
16116,34,Triangle
15985,32,Rectangle
4345,33.5,Rectangle
4432,31.5,Inverted Triangle
4734,35.4,Rectangle
4069,39.4,Triangle
16908,30,Inverted Triangle
16632,33,Rectangle
16892,32,Inverted Triangle
15314,38,Rectangle
4621,29.5,Rectangle
14045,34,Rectangle
15679,34,Inverted Triangle
16707,32,Inverted Triangle
14028,36,Triangle
4596,35.4,Rectangle
16210,32,Rectangle
11137,36,Rectangle
15621,36,Rectangle
15946,34,Rectangle
4223,35.4,Rectangle
16570,36,Triangle
16259,29,Inverted Triangle
4633,37.4,Rectangle
15883,31,Triangle
17065,34,Triangle
17066,34,Rectangle
16379,36,Triangle
4792,35.4,Inverted Triangle
4303,43.3,Triangle
15539,36,Rectangle
17074,32,Triangle
16809,32,Rectangle
4054,33.5,Rectangle
14031,36,Rectangle
15637,36,Triangle
4644,35.4,Inverted Triangle
15269,36,Triangle
16830,32,Rectangle
4372,35.4,Rectangle
11379,40,Triangle
15970,31,Inverted Triangle
4356,Don't Know,Rectangle
4650,37.4,Rectangle
