Subject Number,NL Subject,Acromial Ht Stand Lt (mm),Acromial Ht Stand Rt (mm),Acromion-Radiale Len Lt (mm),Acromion-Radiale Len Rt (mm),"Ankle Ht Lt (Malleolus, Lateral) (mm)","Ankle Ht Rt (Malleolus, Lateral) (mm)",Arm Inseam Lt (mm),Arm Inseam Rt (mm),Axilla Ht Lt (mm),Axilla Ht Rt (mm),Biacromial Brth (mm),Bicristale Brth (mm),Bigonial Brth (mm),Bispinous Brth (mm),Bitragion Brth (mm),Bitrochanteric Brth Stand (mm),Bustpoint Brth (mm),Cervicale Ht (mm),Chest Ht Stand (mm),Elbow Ht Stand Lt (mm),Elbow Ht Stand Rt (mm),Foot Brth Lt (mm),Foot Brth Rt (mm),Infraorbitale Ht Lt Stand (mm),Infraorbitale Ht Rt Stand (mm),Inter-pupillary Dst (mm),Interscye Dst Stand (mm),Knee Ht Stand Lt (mm),Knee Ht Stand Rt (mm),Malleolus Med Lt (mm),Malleolus Med Rt (mm),Neck Ht (mm),Radiale-Stylion Len Lt (mm),Radiale-Stylion Len Rt (mm),Sellion Supramenton (mm),Sleeve Outseam Len Lt (mm),Sleeve Outseam Len Rt (mm),Sphyrion Ht Lt (mm),Sphyrion Ht Rt (mm),Suprasternale Ht (mm),Trochanterion Ht Lt (mm),Trochanterion Ht Rt (mm),Waist Back (mm)
11001,1001,1429.49,1418.54,330.61,338.18,67.57,69.63,473.80,470.23,1335.69,1315.18,359.32,280.91,108.53,250.16,147.44,363.03,180.27,1466.80,1231.75,1125.29,1100.40,80.55,89.27,1581.62,1574.70,68.39,371.38,451.90,444.96,85.54,88.96,111.22,237.32,240.22,81.94,549.20,580.24,67.21,71.64,1378.98,902.71,887.85,443.53
11009,1009,1340.13,1339.80,279.64,292.02,64.42,66.33,379.22,374.89,1214.46,1204.45,386.53,356.87,112.78,324.95,156.47,386.72,218.29,1401.53,1175.08,1068.05,1066.65,115.09,110.25,1532.01,1535.47,66.09,406.95,455.98,459.43,68.76,88.43,111.44,230.29,230.66,100.83,503.09,513.93,39.98,53.79,1324.25,848.78,849.73,371.28
11017,1017,1334.32,1323.69,291.57,300.71,74.01,69.68,442.08,451.30,1233.07,1227.46,377.90,262.67,118.83,211.03,138.02,337.42,168.31,1362.78,1175.56,1063.06,1051.82,99.42,94.58,1476.94,1469.87,60.07,383.81,451.80,458.76,74.88,80.97,112.06,244.15,246.96,87.42,525.90,536.52,50.39,60.17,1306.27,863.18,880.49,371.62
11021,1021,1446.29,1422.58,331.29,318.69,70.36,66.94,486.07,506.88,1349.87,1355.88,372.39,273.79,116.53,238.30,140.21,386.30,187.28,1520.40,1292.14,1144.24,1125.39,100.99,99.76,1624.71,1624.70,60.18,334.23,474.39,481.29,89.87,88.28,128.21,243.40,255.65,91.57,575.77,562.80,69.05,64.03,1429.00,947.59,923.17,464.17
11024,1024,1503.84,1482.05,323.12,333.77,62.93,64.89,438.51,458.56,1355.70,1358.51,465.52,330.57,135.59,236.10,161.78,377.77,231.22,1591.04,1324.90,1192.29,1164.17,110.88,112.09,1712.46,1712.87,66.06,462.13,513.86,513.88,87.56,90.70,89.87,280.11,271.16,94.33,595.98,590.92,52.99,59.53,1525.79,956.91,987.83,469.45
11025,1025,1517.64,1505.15,318.59,319.15,78.42,70.71,476.48,469.92,1395.84,1380.62,447.77,340.65,124.85,263.96,162.29,357.28,206.22,1578.01,1347.79,1210.96,1204.69,117.51,111.90,1708.09,1704.20,62.71,443.87,507.70,511.17,90.09,93.46,111.64,275.52,283.33,118.72,588.62,593.48,59.02,65.75,1508.75,984.86,966.08,499.81
11026,1026,1434.51,1443.34,316.22,320.51,71.66,70.56,434.85,430.61,1315.17,1336.64,412.14,324.82,142.31,258.61,155.59,397.36,174.03,1503.41,1254.72,1144.20,1147.25,105.26,91.75,1608.09,1611.56,70.27,414.06,467.81,467.76,78.65,87.45,97.75,255.51,253.75,97.28,544.85,566.65,57.84,59.74,1445.31,906.55,913.70,440.66
11029,1029,1422.12,1396.15,329.82,317.44,73.54,71.62,459.44,400.58,1294.10,1268.59,398.38,355.93,146.98,332.78,151.94,404.79,260.34,1485.31,1221.40,1108.26,1094.31,118.98,115.48,1569.90,1574.94,64.61,399.76,480.77,487.68,80.29,87.41,91.73,277.42,252.39,97.47,571.94,560.07,51.35,63.17,1417.33,883.22,917.64,426.13
11031,1031,1303.65,1299.55,285.92,298.91,68.46,60.01,439.83,455.92,1232.23,1237.15,373.34,326.04,116.11,254.27,144.27,394.79,190.03,1352.46,1149.06,1037.88,1031.01,99.72,101.08,1457.37,1460.83,66.22,392.02,427.58,427.55,76.00,79.06,118.46,233.41,240.27,87.27,504.77,527.18,51.63,54.80,1298.02,834.68,815.12,359.64
11033,1033,1451.17,1442.96,307.59,314.68,77.78,72.37,482.73,492.93,1352.72,1362.12,438.07,351.82,131.69,249.55,152.88,364.79,245.76,1525.35,1297.41,1165.42,1150.36,94.27,106.28,1646.61,1654.26,65.12,439.83,500.02,500.02,86.48,91.72,111.46,277.92,266.55,95.79,568.40,574.43,65.64,70.94,1453.36,933.90,912.76,474.96
