NL Subject,Subject Number,Country,Site,Date,Time,Date of Birth,Age (Years),Birth State,State,Occupation,Education,Number of Children,Fitness,Car Make,Car Model,Car Year,Gender,Race,Reported Height (cm),Reported Height (in),Reported Weight (kg),Reported Weight (lbs),Marital Status,Salary NL,Shoe Size NL,Jacket Size,Pants Size Waist,Pants Size Inseam,Blouse Size,Father Born,Mother Born,Work Posture,Work Hours,Cup Size,Bra Size NL,Size Underwear,Weight Gain
1001,11001,Netherlands,Soesterberg,26/11/1999,11:15,26/5/1961,39,Drenthe,Utrecht,Unemployed,Middle Level Education for Profession,2,4-6,Chevrolet,Other,1993,Female,Netherlands/Dutch,173.00,68.11,60.00,132.28,Married,90kGuilders-120kGuilders,37,,29,31,38,Netherlands,Netherlands,No Response,No Response,B,80,S,Strong Increase
1002,11002,Netherlands,Soesterberg,4/8/1999,14:10,28/9/1968,31,Gelderland,Utrecht,Armed Services,Bachelors,0,4-6,Renault,Intermediate,1998,Female,Netherlands/Dutch,168.00,66.14,62.00,136.69,Living Together,No Response,39,,No Response,No Response,No Response,Netherlands,Netherlands,Predominantly Sitting,40,A,No Response,No Response,About the Same
1009,11009,Netherlands,Soesterberg,18/5/2000,14:15,21/6/1956,44,Zuid Holland,Utrecht,Unemployed,Middle Level Education for Profession,3,2-3,Peugeot,Intermediate,1987,Female,Netherlands/Other,165.00,64.96,87.00,191.80,Married,30kGuilders-40kGuilders,38.5,,36,30,46,United Kingdom,Netherlands,No Response,No Response,C,90,XL,About the Same
1012,11012,Netherlands,Soesterberg,3/1/2000,12:45,11/4/1976,24,Noord Brabant,Utrecht,Armed Services,High School,0,2-3,Saab,Intermediate,1990,Male,Netherlands/Dutch,206.00,81.10,110.00,242.51,Living Together,40kGuilders-60kGuilders,47,55,36,40,,Netherlands,Netherlands,Carrying and Lifting,40,,,7,Strong Increase
1017,11017,Netherlands,Soesterberg,20/10/1999,10:00,18/6/1966,33,Utrecht,Utrecht,Health and Wellbeing,Middle Level Education for Profession,2,More than 10,Ford,Intermediate,1996,Female,Netherlands/Dutch,160.00,62.99,58.00,127.87,Married,Don't Know,37,,28,No Response,38,Netherlands,Netherlands,Predominantly Standing,No Response,B,75,36,About the Same
1021,11021,Netherlands,Soesterberg,25/11/1999,14:15,18/10/1974,25,Noord Holland,Noord Holland,Other Speciality Occupation,Middle Level Education for Profession,0,4-6,Opel,Compact,1992,Female,Netherlands/Dutch,177.00,69.69,63.00,138.89,Married,40kGuilders-60kGuilders,39,,32,36,38,Netherlands,Netherlands,Predominantly Sitting,32,B,75,M,About the Same
1024,11024,Netherlands,Soesterberg,22/11/1999,16:00,1/5/1968,32,Noord Holland,Flevoland,Government,Bachelors,0,6-10,Opel,Intermediate,1994,Male,Netherlands/Dutch,184.00,72.44,100.00,220.46,Living Together,120kGuilders-160kGuilders,45,60,34,No Response,,Netherlands,Netherlands,Predominantly Sitting,40,,,M,About the Same
1025,11025,Netherlands,Soesterberg,18/11/1999,11:00,10/4/1944,56,Utrecht,Utrecht,Administrative Support,Elementary School,1,6-10,Citroen,Minivan,1998,Male,Netherlands/Dutch,187.00,73.62,82.00,180.78,Divorced,40kGuilders-60kGuilders,44,51,33,34,,Netherlands,Netherlands,Predominantly Sitting,45,,,M,About the Same
1026,11026,Netherlands,Soesterberg,26/10/1999,9:00,14/8/1959,40,Utrecht,Utrecht,Trade,High School,3,0-1,Hyundai,Minivan,1997,Female,Netherlands/Other,173.00,68.11,90.00,198.42,Married,90kGuilders-120kGuilders,41,,34,33,42,Indonesia,Indonesia,Predominantly Standing,40,C,95,L,Strong Increase
1027,11027,Netherlands,Soesterberg,10/11/1999,9:00,18/11/1939,60,Aruba,Utrecht,Unemployed,Middle Level Education for Profession,3,0-1,Peugeot,Compact,1985,Female,Netherlands/Other,171.00,67.32,71.00,156.53,Married,No Response,40,,34,No Response,40,Aruba,Aruba,No Response,No Response,No Response,80,L,About the Same
1029,11029,Netherlands,Soesterberg,2/11/1999,11:00,24/4/1940,60,Utrecht,Utrecht,Unemployed,Middle Level Education for Profession,1,More than 10,No Response,No Response,,Male,Netherlands/Dutch,178.00,70.08,98.00,216.05,Married,60kGuilders-90kGuilders,43,54,38,No Response,,Netherlands,Netherlands,No Response,No Response,,,L,About the Same
1031,11031,Netherlands,Soesterberg,2/11/1999,10:00,10/10/1944,55,Noord Brabant,Utrecht,Culture and Recreation,Bachelors,2,4-6,Renault,Compact,1992,Female,Netherlands/Dutch,163.00,64.17,63.00,138.89,Married,Don't Know,37.5,,No Response,No Response,40,Netherlands,Netherlands,Predominantly Sitting,14,B,80,40,About the Same
1033,11033,Netherlands,Soesterberg,28/10/1999,14:00,24/5/1966,33,Noord Holland,Noord Holland,Construction,Middle Level Education for Profession,2,0-1,Subaru,Station Wagon,1987,Male,Netherlands/Dutch,184.00,72.44,85.00,187.39,Married,60kGuilders-90kGuilders,43,No Response,34,No Response,,Netherlands,Netherlands,Predominantly Sitting,80,,,6,About the Same
1035,11035,Netherlands,Soesterberg,5/11/1999,15:00,2/6/1961,38,Utrecht,Utrecht,Health and Wellbeing,Middle Level Education for Profession,1,2-3,Volvo,Luxury,1988,Female,Netherlands/Dutch,175.00,68.90,62.00,136.69,Single,20kGuilders-30kGuilders,39,,29,33,38,Netherlands,Netherlands,Carrying and Lifting,20,A,75,M,About the Same
1038,11038,Netherlands,Soesterberg,25/11/1999,9:00,28/6/1951,48,Gelderland,Utrecht,Service Occupation,High School,2,2-3,Peugeot,Intermediate,1987,Female,Netherlands/Dutch,158.00,62.20,75.00,165.35,Married,30kGuilders-40kGuilders,38,,36,36,48,Netherlands,Netherlands,Predominantly Standing,13,D,90,L,Strong Increase
1040,11040,Netherlands,Soesterberg,23/11/1999,14:15,18/2/1952,48,Noord Holland,Utrecht,Armed Services,Middle Level Education for Profession,3,4-6,Volvo,Intermediate,1987,Male,Netherlands/Dutch,180.00,70.87,110.00,242.51,Married,Don't Know,42,53,No Response,No Response,,Netherlands,Netherlands,Predominantly Sitting,39,,,No Response,Strong Decrease
1042,11042,Netherlands,Soesterberg,22/10/1999,14:00,9/3/1943,57,Zuid Holland,Utrecht,Administrative Support,Middle Level Education for Profession,0,4-6,Rover,Compact,1993,Female,Netherlands/Dutch,168.00,66.14,63.00,138.89,Married,90kGuilders-120kGuilders,39,,28,30,40,Netherlands,Netherlands,Predominantly Sitting,15,B,80,M,About the Same
1049,11049,Netherlands,Soesterberg,31/8/1999,10:00,3/12/1938,61,Noord Holland,Flevoland,Other Speciality Occupation,High School,4,2-3,Ford,Intermediate,1988,Female,Netherlands/Dutch,173.00,68.11,101.00,222.67,Divorced,Less than 20kGuilders,39,,36,34,52,Netherlands,Netherlands,Predominantly Sitting,35,E,No Response,5,About the Same
1050,11050,Netherlands,Soesterberg,27/8/1999,13:30,28/3/1948,51,Noord Holland,Utrecht,Armed Services,Middle Level Education for Profession,4,6-10,No Response,Don't Know,,Male,Netherlands/Dutch,180.00,70.87,95.00,209.44,Married,60kGuilders-90kGuilders,45,54,38,34,,Netherlands,Netherlands,Predominantly Sitting,40,,,7,About the Same
1051,11051,Netherlands,Soesterberg,26/10/1999,14:00,15/10/1944,55,Noord Holland,Noord Holland,Homemaker,Middle Level Education for Profession,1,2-3,Opel,Compact,1997,Female,Netherlands/Dutch,178.00,70.08,95.00,209.44,Divorced,30kGuilders-40kGuilders,41,,36,40,48,Netherlands,Netherlands,Predominantly Standing,No Response,B,85,L,About the Same
1052,11052,Netherlands,Soesterberg,1/9/1999,10:00,15/9/1948,51,Utrecht,Utrecht,Health and Wellbeing,Bachelors,2,0-1,Volvo,Station Wagon,1997,Male,Netherlands/Dutch,165.00,64.96,93.00,205.03,Married,60kGuilders-90kGuilders,42,No Response,No Response,No Response,,Netherlands,Netherlands,Predominantly Sitting,60,,,5,Strong Decrease
1054,11054,Netherlands,Soesterberg,22/2/2000,9:00,22/1/1963,37,Utrecht,Utrecht,Culture and Recreation,Bachelors,0,2-3,Fiat,Compact,1997,Female,Netherlands/Dutch,175.00,68.90,77.00,169.76,Single,40kGuilders-60kGuilders,39,,33,32,42,Netherlands,Netherlands,Predominantly Sitting,40,D,85,L,About the Same
1057,11057,Netherlands,Soesterberg,10/9/1999,10:00,17/12/1965,34,Noord Holland,Utrecht,Homemaker,Bachelors,3,2-3,Volvo,Station Wagon,1991,Female,Netherlands/Dutch,178.00,70.08,54.00,119.05,Married,120kGuilders-160kGuilders,39,,38,30,40,Netherlands,Netherlands,Carrying and Lifting,38,A,75,8,Strong Increase
1064,11064,Netherlands,Soesterberg,4/11/1999,10:00,27/5/1964,35,Zuid Holland,Utrecht,Homemaker,Lower Level Education for Profession,3,0-1,Toyota,Intermediate,1994,Female,Netherlands/Dutch,167.00,65.75,70.00,154.32,Married,Don't Know,38,,33,No Response,42,Netherlands,Netherlands,Predominantly Walking or Cycling,40,E,No Response,M,Strong Increase
1072,11072,Netherlands,Soesterberg,24/8/1999,8:30,31/5/1963,36,Utrecht,Utrecht,Administrative Support,High School,2,4-6,Renault,Intermediate,1997,Male,Netherlands/Dutch,183.00,72.05,92.00,202.83,Married,60kGuilders-90kGuilders,44,52,34,34,,Netherlands,Netherlands,Predominantly Sitting,50,,,6,About the Same
1074,11074,Netherlands,Soesterberg,26/2/2000,13:30,19/2/1955,45,Netherlands Antilles,Noord Holland,Administrative Support,Bachelors,3,2-3,Volkswagen,Intermediate,1998,Male,Netherlands/Other,180.00,70.87,70.00,154.32,Divorced,40kGuilders-60kGuilders,41,No Response,32,34,,Netherlands Antilles,Netherlands Antilles,Predominantly Sitting,40,,,5,About the Same
1079,11079,Netherlands,Soesterberg,20/11/1999,14:00,27/1/1962,38,Zuid Holland,Utrecht,No Response,Middle Level Education for Profession,No Response,No Response,No Response,No Response,,Female,Netherlands/Other,153.00,60.24,89.00,196.21,No Response,No Response,No Response,,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
1081,11081,Netherlands,Soesterberg,20/8/1999,11:00,28/8/1963,36,Utrecht,Utrecht,Construction,Lower Level Education for Profession,4,0-1,Renault,Compact,1986,Male,Netherlands/Dutch,190.00,74.80,65.00,143.30,Married,40kGuilders-60kGuilders,42,No Response,No Response,No Response,,Netherlands,Netherlands,Carrying and Lifting,40,,,No Response,About the Same
1084,11084,Netherlands,Soesterberg,13/8/1999,11:00,2/12/1975,24,Utrecht,Utrecht,Other Speciality Occupation,Middle Level Education for Profession,No Response,No Response,Ford,Intermediate,1987,Female,Netherlands/Dutch,169.00,66.54,50.00,110.23,No Response,No Response,38,,29,32,36,Netherlands,Netherlands,Predominantly Sitting,40,A,No Response,No Response,No Response
1085,11085,Netherlands,Soesterberg,18/8/1999,11:00,4/4/1934,65,Noord Holland,Utrecht,Other Speciality Occupation,High School,2,4-6,Renault,Intermediate,1993,Male,Netherlands/Dutch,172.00,67.72,77.00,169.76,Married,40kGuilders-60kGuilders,41,48,33,32,,Netherlands,Netherlands,No Response,No Response,,,6,Strong Increase
1086,11086,Netherlands,Soesterberg,13/8/1999,9:30,22/4/1964,35,Brazil,Flevoland,Service Occupation,Middle Level Education for Profession,2,2-3,Fiat,Station Wagon,1999,Female,Netherlands/Dutch,163.00,64.17,86.00,189.60,Married,40kGuilders-60kGuilders,39,,36,32,46,Netherlands,Netherlands,Predominantly Sitting,24,E,No Response,No Response,Strong Increase
1088,11088,Netherlands,Soesterberg,29/10/1999,16:00,6/6/1977,22,Utrecht,Utrecht,Health and Wellbeing,Middle Level Education for Profession,0,6-10,No Response,No Response,,Female,Netherlands/Dutch,160.00,62.99,103.00,227.08,Single,Don't Know,41,,46,No Response,48,Netherlands,Netherlands,Predominantly Walking or Cycling,30,F,90,XXL,Strong Decrease
1090,11090,Netherlands,Soesterberg,16/8/1999,9:30,1/11/1966,33,Noord Holland,Utrecht,Transport Storage and Communication,High School,3,2-3,Alfa Romeo,Intermediate,1996,Female,Netherlands/Dutch,171.00,67.32,56.00,123.46,Married,160kGuilders-200kGuilders,38,,29,32,38,Netherlands,Netherlands,Predominantly Walking or Cycling,10,B,No Response,No Response,Strong Decrease
1092,11092,Netherlands,Soesterberg,9/11/1999,13:00,28/12/1956,43,Utrecht,Noord Holland,Health and Wellbeing,Bachelors,0,6-10,Fiat,Compact,1995,Female,Netherlands/Dutch,160.00,62.99,55.00,121.25,Living Together,40kGuilders-60kGuilders,38,,No Response,No Response,38,Netherlands,Netherlands,Predominantly Walking or Cycling,29,B,80,M,About the Same
1094,11094,Netherlands,Soesterberg,16/8/1999,15:00,11/1/1978,22,Noord Holland,Flevoland,Administrative Support,Middle Level Education for Profession,0,More than 10,No Response,No Response,,Female,Netherlands/Dutch,180.00,70.87,55.00,121.25,No Response,Don't Know,No Response,,32,34,38,Netherlands,Netherlands,Predominantly Walking or Cycling,15,A,No Response,No Response,About the Same
1096,11096,Netherlands,Soesterberg,15/9/1999,8:30,19/7/1975,24,Utrecht,Utrecht,Health and Wellbeing,Middle Level Education for Profession,0,2-3,Nissan,Compact,1987,Female,Netherlands/Dutch,172.00,67.72,71.00,156.53,Engaged,Don't Know,39,,33,30,40,Netherlands,Netherlands,Predominantly Standing,36,B,80,No Response,About the Same
