Subject Number,NL Subject,Gender,"Acromial Height, Sitting (mm)",Ankle Circumference (mm),Spine-to-Shoulder (mm),Spine-to-Elbow (mm),Arm Length (Spine to Wrist) (mm),Arm Length (Shoulder to Wrist) (mm),Arm Length (Shoulder to Elbow) (mm),Armscye Circumference (Scye Circ Over Acromion) (mm),Bizygomatic Breadth (mm),Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Buttock-Knee Length (mm),Chest Girth (Chest Circumference at Scye) (mm),Crotch Height (mm),"Elbow Height, Sitting (mm)","Eye Height, Sitting (mm)",Face Length (mm),Foot Length (mm),Hand Circumference (mm),Hand Length (mm),Head Breadth (mm),Head Circumference (mm),Head Length (mm),"Hip Breadth, Sitting (mm)","Hip Circumference, Maximum (mm)",Hip Circ Max Height (mm),Knee Height (mm),Neck Base Circumference (mm),Shoulder Breadth (mm),Sitting Height (mm),Stature (mm),Subscapular Skinfold (mm),Thigh Circumference (mm),Thigh Circumference Max Sitting (mm),Thumb Tip Reach (mm),TTR 1 (mm),TTR 2 (mm),TTR 3 (mm),Triceps Skinfold (mm),Total Crotch Length (Crotch Length) (mm),Vertical Trunk Circumference (mm),"Waist Circumference, Pref (mm)",Waist Front Length (mm),"Waist Height, Preferred (mm)",Weight (kg)
11001,1001,Female,640.00,227.00,187.00,545.00,790.00,603.00,358.00,400.00,127.00,904.00,793.00,603.00,844.00,799.00,279.00,825.00,107.00,233.00,182.00,181.00,157.00,560.00,184.00,391.00,1000.00,814.00,500.00,444.00,406.00,933.00,1723.00,9.60,565.00,548.00,765.67,768.00,764.00,765.00,14.20,643.00,1571.00,724.00,362.00,1053.00,60.90
11002,1002,Female,623.00,248.00,204.00,530.00,770.00,566.00,326.00,417.00,129.00,859.00,751.00,569.00,870.00,754.00,272.00,825.00,123.00,248.00,194.00,186.00,143.00,535.00,182.00,392.00,1027.00,791.00,499.00,401.00,429.00,943.00,1694.00,14.10,607.00,598.00,759.00,767.00,754.00,756.00,17.60,694.00,1591.00,690.00,380.00,1004.00,63.20
11009,1009,Female,564.00,246.00,210.00,525.00,783.00,573.00,315.00,443.00,139.00,1092.00,921.00,622.00,1011.00,739.00,222.00,788.00,119.00,248.00,197.00,182.00,155.00,549.00,188.00,443.00,1135.00,781.00,,452.00,460.00,882.00,1659.00,22.40,654.00,665.00,742.33,757.00,737.00,733.00,17.80,816.00,1726.00,1014.00,372.00,1014.00,85.00
11012,1012,Male,699.00,290.00,238.00,640.00,950.00,712.00,402.00,475.00,150.00,1004.00,,699.00,1031.00,1005.00,275.00,924.00,120.00,295.00,245.00,223.00,155.00,609.00,215.00,410.00,1091.00,991.00,656.00,506.00,505.00,1032.00,2053.00,13.00,655.00,662.00,900.67,901.00,901.00,900.00,11.40,695.00,1870.00,916.00,502.00,1224.00,107.60
11017,1017,Female,556.00,240.00,194.00,510.00,762.00,568.00,316.00,375.00,132.00,898.00,785.00,576.00,891.00,808.00,223.00,717.00,107.00,241.00,185.00,192.00,149.00,533.00,177.00,378.00,985.00,810.00,521.00,438.00,432.00,838.00,1608.00,13.80,579.00,590.00,754.00,757.00,756.00,749.00,14.20,599.00,1451.00,755.00,325.00,1014.00,61.30
11021,1021,Female,590.00,225.00,200.00,557.00,825.00,625.00,357.00,365.00,141.00,925.00,766.00,642.00,857.00,865.00,225.00,812.00,108.00,253.00,176.00,195.00,141.00,513.00,177.00,425.00,1052.00,860.00,538.00,416.00,388.00,916.00,1776.00,13.80,596.00,587.00,803.33,811.00,803.00,796.00,16.80,,1563.00,901.00,430.00,1054.00,66.00
11024,1024,Male,634.00,275.00,248.00,630.00,920.00,672.00,382.00,522.00,144.00,1099.00,,648.00,1138.00,890.00,244.00,835.00,119.00,283.00,247.00,213.00,152.00,608.00,213.00,393.00,1090.00,850.00,582.00,482.00,535.00,962.00,1850.00,13.00,660.00,656.00,811.33,809.00,816.00,809.00,5.80,665.00,1720.00,867.00,477.00,1101.00,98.30
11025,1025,Male,691.00,295.00,247.00,600.00,892.00,645.00,353.00,428.00,132.00,983.00,,614.00,1004.00,856.00,321.00,868.00,137.00,278.00,235.00,218.00,154.00,587.00,201.00,368.00,966.00,852.00,572.00,492.00,473.00,984.00,1840.00,10.00,571.00,566.00,833.00,819.00,845.00,835.00,5.40,645.00,1782.00,886.00,488.00,1067.00,82.70
11026,1026,Female,630.00,248.00,229.00,580.00,840.00,611.00,351.00,434.00,148.00,1080.00,970.00,665.00,1076.00,827.00,275.00,803.00,121.00,252.00,217.00,185.00,160.00,582.00,194.00,430.00,1122.00,847.00,544.00,451.00,483.00,915.00,1750.00,16.20,681.00,644.00,776.00,781.00,775.00,772.00,20.60,745.00,1750.00,906.00,400.00,1090.00,88.50
11027,1027,Female,625.00,249.00,218.00,545.00,807.00,589.00,327.00,375.00,138.00,910.00,804.00,614.00,894.00,806.00,269.00,799.00,121.00,252.00,200.00,193.00,142.00,555.00,186.00,415.00,1065.00,811.00,524.00,413.00,418.00,898.00,1695.00,17.60,621.00,609.00,766.00,763.00,772.00,763.00,25.00,735.00,1631.00,804.00,397.00,1072.00,70.40
