Subject Number,Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
16533,24.0,168.0,55.0,37.0,Triangle,0.0,0.0,0.0,1.0,55.7
16725,21.0,169.0,64.0,40.0,Rectangle,0.0,0.0,1.0,0.0,65.1
15890,28.0,175.0,66.0,40.0,Hourglass,1.0,0.0,0.0,0.0,66.9
4267,55.5,158.0,56.0,36.5,Hourglass,1.0,0.0,0.0,0.0,56.5
4120,25.4,169.0,60.0,40.0,Triangle,0.0,0.0,0.0,1.0,61.6
16512,57.0,164.0,63.0,36.0,Hourglass,1.0,0.0,0.0,0.0,65.7
4686,22.1,170.0,62.0,37.0,Rectangle,0.0,0.0,1.0,0.0,63.9
11405,52.0,157.0,61.0,37.0,Rectangle,0.0,0.0,1.0,0.0,62.2
16435,53.0,181.0,90.0,41.0,Rectangle,0.0,0.0,1.0,0.0,92.2
4601,24.0,165.0,60.0,37.0,Rectangle,0.0,0.0,1.0,0.0,58.4
15514,36.0,186.0,70.0,42.0,Hourglass,1.0,0.0,0.0,0.0,69.1
4445,57.7,165.0,70.0,36.5,Hourglass,1.0,0.0,0.0,0.0,72.3
12022,59.0,165.0,93.0,39.0,Inverted Triangle,0.0,1.0,0.0,0.0,96.7
11413,30.0,156.0,64.0,36.0,Rectangle,0.0,0.0,1.0,0.0,68.0
15842,40.0,180.0,75.0,41.0,Hourglass,1.0,0.0,0.0,0.0,79.1
4258,18.7,177.0,70.0,38.0,Rectangle,0.0,0.0,1.0,0.0,71.0
11042,57.0,168.0,63.0,39.0,Rectangle,0.0,0.0,1.0,0.0,63.0
4037,18.0,160.0,55.0,37.5,Hourglass,1.0,0.0,0.0,0.0,56.0
11368,36.0,169.0,65.0,40.0,Rectangle,0.0,0.0,1.0,0.0,67.0
4756,24.4,163.0,58.0,37.5,Rectangle,0.0,0.0,1.0,0.0,57.7
15935,34.0,156.0,56.0,34.5,Hourglass,1.0,0.0,0.0,0.0,55.3
11302,55.0,164.0,74.0,38.0,Rectangle,0.0,0.0,1.0,0.0,76.5
11262,33.0,164.0,98.0,41.0,Rectangle,0.0,0.0,1.0,0.0,98.4
4781,46.2,170.0,73.0,40.0,Rectangle,0.0,0.0,1.0,0.0,75.4
11190,52.0,168.0,73.0,40.0,Rectangle,0.0,0.0,1.0,0.0,78.4
15800,37.0,178.0,70.0,41.0,Rectangle,0.0,0.0,1.0,0.0,72.1
15760,60.0,153.0,83.0,38.0,Rectangle,0.0,0.0,1.0,0.0,85.9
16615,28.0,155.0,58.0,36.0,Hourglass,1.0,0.0,0.0,0.0,62.3
