Subject Number,shape
4090,Triangle
4253,Rectangle
4153,Triangle
11438,Rectangle
16989,Inverted Triangle
16438,Rectangle
11355,Rectangle
4506,Triangle
16425,Triangle
16723,Triangle
11202,Rectangle
4544,Rectangle
16679,Triangle
15201,Triangle
15214,Triangle
4171,Triangle
16155,Rectangle
4192,Triangle
16038,Inverted Triangle
4009,Triangle
16487,Triangle
15257,Triangle
15629,Triangle
4673,Triangle
4618,Triangle
16082,Rectangle
4269,Triangle
4496,Triangle
15411,Inverted Triangle
11409,Rectangle
11368,Rectangle
16664,Triangle
4712,Triangle
16203,Triangle
11042,Triangle
4770,Triangle
11260,Triangle
4460,Triangle
16673,Triangle
4569,Triangle
16036,Triangle
4370,Triangle
16719,Triangle
4049,Rectangle
15698,Inverted Triangle
4490,Triangle
4038,Triangle
15590,Inverted Triangle
4750,Triangle
15228,Triangle
15627,Rectangle
17017,Triangle
16398,Triangle
4442,Triangle
4343,Triangle
16629,Triangle
16677,Rectangle
16465,Triangle
4523,Triangle
4062,Triangle
17076,Triangle
4201,Triangle
15209,Rectangle
4740,Triangle
11096,Triangle
4237,Triangle
4782,Triangle
15915,Triangle
11236,Triangle
15978,Rectangle
4014,Triangle
4533,Triangle
4746,Triangle
12223,Triangle
16822,Triangle
4665,Rectangle
4619,Rectangle
15643,Triangle
16681,Triangle
16571,Triangle
11329,Triangle
4340,Rectangle
15362,Triangle
11214,Triangle
16552,Triangle
15734,Triangle
16818,Rectangle
4015,Triangle
16388,Triangle
15326,Triangle
4325,Triangle
15836,Triangle
15392,Rectangle
4292,Triangle
15776,Rectangle
4137,Triangle
16522,Triangle
15770,Triangle
11165,Inverted Triangle
15712,Inverted Triangle
15400,Triangle
16460,Rectangle
15219,Rectangle
4536,Triangle
11190,Rectangle
16579,Triangle
15747,Triangle
15616,Rectangle
11173,Rectangle
4566,Inverted Triangle
4028,Triangle
4578,Triangle
17023,Triangle
15256,Rectangle
15332,Rectangle
4548,Triangle
15247,Inverted Triangle
15482,Rectangle
15490,Triangle
4205,Triangle
4267,Triangle
11229,Triangle
15730,Triangle
4239,Triangle
15608,Triangle
4489,Triangle
4643,Triangle
16512,Triangle
4109,Triangle
16734,Triangle
11223,Rectangle
15556,Rectangle
4146,Triangle
11377,Rectangle
11435,Triangle
4251,Triangle
4391,Rectangle
4377,Triangle
15911,Triangle
15243,Inverted Triangle
16683,Triangle
11242,Triangle
4315,Triangle
4198,Rectangle
15707,Rectangle
12374,Triangle
11410,Triangle
15401,Rectangle
16059,Triangle
17025,Rectangle
16602,Rectangle
15842,Triangle
15764,Inverted Triangle
4660,Triangle
4188,Triangle
11035,Rectangle
16277,Triangle
16642,Triangle
15846,Rectangle
15277,Inverted Triangle
4748,Triangle
11302,Triangle
4218,Triangle
16464,Rectangle
4587,Triangle
4483,Triangle
4278,Triangle
4488,Triangle
15380,Triangle
4244,Triangle
11220,Rectangle
15686,Rectangle
16725,Rectangle
4029,Triangle
11388,Rectangle
16331,Rectangle
15757,Triangle
4136,Triangle
4686,Triangle
16700,Triangle
4348,Triangle
11049,Inverted Triangle
4360,Triangle
15882,Triangle
16601,Triangle
4410,Rectangle
4393,Rectangle
4148,Triangle
15711,Rectangle
11294,Triangle
16582,Triangle
15595,Triangle
