Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
57.0,172.0,110.0,42.0,Rectangle,0.0,1.0,0.0
35.2,164.0,52.0,37.0,Triangle,0.0,0.0,1.0
50.0,168.0,75.0,39.0,Rectangle,0.0,1.0,0.0
18.0,160.0,51.0,37.5,Triangle,0.0,0.0,1.0
48.0,171.0,100.0,42.0,Inverted Triangle,1.0,0.0,0.0
58.2,155.0,50.0,36.0,Rectangle,0.0,1.0,0.0
41.0,173.0,72.0,41.0,Triangle,0.0,0.0,1.0
34.1,158.0,54.0,37.0,Triangle,0.0,0.0,1.0
40.0,172.0,88.0,40.0,Rectangle,0.0,1.0,0.0
26.0,177.0,95.0,41.0,Triangle,0.0,0.0,1.0
19.6,165.0,52.0,38.5,Triangle,0.0,0.0,1.0
55.0,164.0,84.0,39.0,Rectangle,0.0,1.0,0.0
23.5,157.0,57.0,36.0,Triangle,0.0,0.0,1.0
53.0,169.0,71.0,39.0,Triangle,0.0,0.0,1.0
34.0,154.0,47.5,36.0,Rectangle,0.0,1.0,0.0
61.0,163.0,77.0,40.0,Rectangle,0.0,1.0,0.0
61.0,154.0,60.0,37.0,Rectangle,0.0,1.0,0.0
36.0,160.0,55.0,37.0,Triangle,0.0,0.0,1.0
18.9,173.0,58.0,39.5,Triangle,0.0,0.0,1.0
29.0,178.0,67.0,41.0,Triangle,0.0,0.0,1.0
35.1,162.0,50.0,36.0,Triangle,0.0,0.0,1.0
50.3,167.0,59.0,38.0,Triangle,0.0,0.0,1.0
42.6,170.0,66.0,40.0,Rectangle,0.0,1.0,0.0
51.0,169.0,68.0,39.0,Triangle,0.0,0.0,1.0
19.0,171.0,61.0,39.0,Triangle,0.0,0.0,1.0
58.8,150.0,54.0,35.5,Rectangle,0.0,1.0,0.0
20.4,162.0,46.0,36.0,Triangle,0.0,0.0,1.0
53.0,155.0,60.0,36.0,Triangle,0.0,0.0,1.0
26.5,165.0,58.0,38.0,Triangle,0.0,0.0,1.0
19.4,169.0,52.0,37.0,Rectangle,0.0,1.0,0.0
24.0,174.0,60.0,37.0,Triangle,0.0,0.0,1.0
36.0,179.0,69.0,41.0,Triangle,0.0,0.0,1.0
44.0,165.0,67.0,37.0,Triangle,0.0,0.0,1.0
34.0,157.0,55.0,37.0,Triangle,0.0,0.0,1.0
18.0,168.0,68.0,38.0,Triangle,0.0,0.0,1.0
66.0,178.0,102.0,42.0,Triangle,0.0,0.0,1.0
29.7,160.0,56.0,37.0,Triangle,0.0,0.0,1.0
58.0,158.0,54.0,38.0,Rectangle,0.0,1.0,0.0
65.0,174.0,90.0,40.0,Triangle,0.0,0.0,1.0
20.0,167.0,55.0,39.0,Rectangle,0.0,1.0,0.0
31.0,161.0,80.0,37.0,Triangle,0.0,0.0,1.0
41.1,175.0,65.0,39.0,Rectangle,0.0,1.0,0.0
52.0,157.0,61.0,37.0,Inverted Triangle,1.0,0.0,0.0
59.8,164.0,78.0,38.0,Rectangle,0.0,1.0,0.0
29.5,167.0,58.0,38.0,Triangle,0.0,0.0,1.0
46.0,170.0,76.0,38.0,Triangle,0.0,0.0,1.0
23.6,154.0,45.0,36.0,Triangle,0.0,0.0,1.0
58.0,162.0,80.0,39.0,Inverted Triangle,1.0,0.0,0.0
58.0,152.0,80.0,39.0,Rectangle,0.0,1.0,0.0
26.4,163.0,55.0,37.0,Triangle,0.0,0.0,1.0
24.6,173.0,58.0,39.5,Triangle,0.0,0.0,1.0
35.0,168.0,75.0,38.0,Rectangle,0.0,1.0,0.0
55.9,156.0,65.0,37.0,Rectangle,0.0,1.0,0.0
37.0,175.0,77.0,39.0,Rectangle,0.0,1.0,0.0
29.0,168.0,56.0,38.0,Triangle,0.0,0.0,1.0
56.0,177.0,75.0,39.0,Rectangle,0.0,1.0,0.0
35.0,167.0,70.0,38.0,Rectangle,0.0,1.0,0.0
33.0,176.0,62.0,39.0,Triangle,0.0,0.0,1.0
23.9,169.0,58.0,38.0,Triangle,0.0,0.0,1.0
28.3,157.0,59.0,36.0,Triangle,0.0,0.0,1.0
47.0,172.0,72.0,37.5,Triangle,0.0,0.0,1.0
45.0,168.0,60.0,38.0,Rectangle,0.0,1.0,0.0
47.0,163.0,59.0,37.0,Triangle,0.0,0.0,1.0
31.0,180.0,67.0,39.0,Triangle,0.0,0.0,1.0
35.0,158.0,77.0,38.0,Rectangle,0.0,1.0,0.0
40.0,173.0,90.0,41.0,Rectangle,0.0,1.0,0.0
26.0,184.0,118.0,39.0,Triangle,0.0,0.0,1.0
31.1,167.0,53.0,37.5,Triangle,0.0,0.0,1.0
19.2,162.0,57.0,39.0,Triangle,0.0,0.0,1.0
43.0,165.0,75.0,37.0,Triangle,0.0,0.0,1.0
22.0,150.0,45.0,33.0,Rectangle,0.0,1.0,0.0
28.0,172.0,85.0,40.0,Triangle,0.0,0.0,1.0
42.0,176.0,97.0,40.0,Rectangle,0.0,1.0,0.0
22.0,159.0,54.0,36.0,Rectangle,0.0,1.0,0.0
46.0,159.0,67.0,37.0,Rectangle,0.0,1.0,0.0
48.0,165.0,65.0,38.0,Triangle,0.0,0.0,1.0
28.0,173.0,66.0,40.0,Triangle,0.0,0.0,1.0
26.0,160.0,46.0,37.0,Triangle,0.0,0.0,1.0
35.0,160.0,45.0,37.0,Triangle,0.0,0.0,1.0
25.1,170.0,56.0,39.5,Triangle,0.0,0.0,1.0
29.1,158.0,50.0,36.0,Triangle,0.0,0.0,1.0
40.0,164.0,75.0,39.0,Inverted Triangle,1.0,0.0,0.0
25.0,183.0,73.0,42.0,Triangle,0.0,0.0,1.0
40.0,162.0,55.0,37.0,Rectangle,0.0,1.0,0.0
20.2,164.0,50.0,38.0,Triangle,0.0,0.0,1.0
28.0,162.0,60.0,37.0,Triangle,0.0,0.0,1.0
42.0,152.0,57.0,37.0,Triangle,0.0,0.0,1.0
19.7,160.0,45.0,35.5,Inverted Triangle,1.0,0.0,0.0
34.0,167.0,75.0,40.0,Triangle,0.0,0.0,1.0
18.5,167.0,53.0,39.5,Triangle,0.0,0.0,1.0
55.0,164.0,82.0,39.0,Rectangle,0.0,1.0,0.0
