"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
747.0,862.0,754.0,411.0,970.0,737.0,557.0,402.0,960.0,531.0,818.0,57.28,78.19
843.0,998.0,817.0,423.0,1000.0,800.0,576.0,457.0,1010.0,574.0,925.0,68.42,83.14
728.0,902.0,768.0,438.0,1006.0,837.0,574.0,411.0,1088.0,598.0,918.0,74.88,90.0
705.0,897.0,752.0,423.0,971.0,700.0,555.0,401.0,960.0,565.0,882.0,60.0,74.0
850.0,910.0,743.0,422.0,1035.0,779.0,593.0,409.0,979.0,589.0,862.0,58.0,71.0
776.0,975.0,784.0,430.0,1033.0,754.0,596.0,423.0,997.0,560.0,959.0,57.64,74.44
865.0,969.0,785.0,405.0,1035.0,739.0,625.0,433.0,983.0,616.0,930.0,66.0,74.0
808.0,1003.0,822.0,427.0,935.0,712.0,537.0,417.0,936.0,541.0,957.0,65.08,71.05
1006.0,1194.0,1042.0,502.0,1128.0,860.0,671.0,485.0,1124.0,638.0,1108.0,74.73,86.56
740.0,956.0,750.0,426.0,972.0,738.0,573.0,413.0,990.0,573.0,895.0,64.0,66.0
725.0,909.0,766.0,466.0,982.0,932.0,566.0,425.0,1218.0,656.0,877.0,82.6,87.99
882.0,971.0,818.0,425.0,1137.0,734.0,665.0,437.0,1029.0,580.0,921.0,65.0,78.0
1115.0,1274.0,1019.0,443.0,1120.0,792.0,668.0,456.0,1010.0,567.0,1115.0,67.16,64.27
875.0,1060.0,860.0,439.0,1062.0,718.0,610.0,458.0,974.0,533.0,972.0,70.33,84.4
804.0,933.0,796.0,430.0,1154.0,895.0,644.0,392.0,1157.0,646.0,907.0,69.96,86.68
868.0,981.0,809.0,435.0,1060.0,831.0,564.0,408.0,1036.0,625.0,911.0,68.0,75.0
740.0,900.0,790.0,400.0,962.0,789.0,574.0,418.0,1061.0,587.0,871.0,73.25,80.3
717.0,895.0,721.0,452.0,986.0,737.0,570.0,394.0,934.0,565.0,816.0,55.0,67.0
800.0,995.0,813.0,417.0,1024.0,815.0,565.0,407.0,1076.0,577.0,910.0,64.2,86.38
740.0,914.0,740.0,446.0,960.0,739.0,545.0,409.0,950.0,572.0,876.0,63.0,75.0
671.0,844.0,711.0,426.0,1034.0,708.0,578.0,389.0,950.0,540.0,825.0,54.93,67.75
984.0,1015.0,880.0,457.0,1078.0,754.0,617.0,412.0,983.0,575.0,989.0,70.54,74.41
1022.0,1156.0,960.0,456.0,1190.0,758.0,770.0,462.0,1016.0,584.0,1012.0,62.75,78.49
881.0,1036.0,870.0,433.0,1046.0,800.0,586.0,454.0,1083.0,619.0,970.0,64.0,75.0
870.0,1052.0,873.0,517.0,1075.0,785.0,624.0,404.0,1053.0,611.0,980.0,70.88,84.82
