"Waist Circumference, Pref (mm)",Chest Girth (Chest Circumference at Scye) (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm)
868.0,1005.0,460.0,1057.0,778.0
778.0,839.0,434.0,979.0,777.0
683.0,790.0,424.0,900.0,721.0
1076.0,1122.0,461.0,1271.0,746.0
790.0,839.0,415.0,983.0,751.0
807.0,920.0,411.0,1020.0,731.0
868.0,955.0,455.0,1095.0,790.0
821.0,935.0,420.0,955.0,779.0
799.0,932.0,459.0,1068.0,866.0
679.0,825.0,445.0,965.0,815.0
781.0,877.0,432.0,991.0,813.0
1070.0,1108.0,475.0,1111.0,791.0
785.0,892.0,470.0,1020.0,820.0
617.0,773.0,433.0,896.0,714.0
690.0,883.0,410.0,976.0,832.0
1020.0,1134.0,517.0,1221.0,871.0
877.0,959.0,471.0,1054.0,851.0
808.0,935.0,423.0,1050.0,774.0
773.0,956.0,430.0,998.0,817.0
850.0,936.0,440.0,1065.0,775.0
745.0,834.0,405.0,952.0,761.0
1081.0,1017.0,443.0,1212.0,752.0
1086.0,1139.0,460.0,1202.0,710.0
900.0,1028.0,444.0,1157.0,687.0
984.0,999.0,455.0,1228.0,906.0
830.0,906.0,408.0,1015.0,771.0
789.0,914.0,415.0,1014.0,759.0
968.0,1016.0,457.0,1119.0,729.0
890.0,999.0,479.0,1098.0,803.0
764.0,880.0,455.0,965.0,840.0
678.0,838.0,418.0,983.0,761.0
850.0,862.0,422.0,1035.0,779.0
847.0,926.0,445.0,973.0,748.0
764.0,833.0,414.0,922.0,722.0
748.0,887.0,417.0,1023.0,780.0
909.0,1020.0,440.0,1080.0,807.0
788.0,939.0,435.0,1087.0,792.0
780.0,889.0,436.0,1007.0,874.0
732.0,828.0,445.0,962.0,816.0
884.0,967.0,420.0,1122.0,753.0
1011.0,982.0,517.0,1122.0,773.0
842.0,953.0,429.0,993.0,732.0
732.0,870.0,421.0,1054.0,814.0
740.0,813.0,402.0,1000.0,778.0
860.0,985.0,440.0,1040.0,699.0
737.0,847.0,452.0,999.0,770.0
777.0,930.0,425.0,1020.0,897.0
755.0,914.0,477.0,1060.0,843.0
762.0,895.0,430.0,1099.0,788.0
897.0,944.0,445.0,1125.0,725.0
674.0,809.0,415.0,955.0,787.0
695.0,897.0,409.0,1025.0,798.0
1020.0,1079.0,496.0,1150.0,769.0
806.0,932.0,431.0,977.0,790.0
769.0,895.0,450.0,1004.0,714.0
750.0,862.0,370.0,1010.0,792.0
1040.0,979.0,442.0,1144.0,774.0
710.0,891.0,390.0,990.0,747.0
740.0,905.0,426.0,1090.0,757.0
717.0,869.0,405.0,933.0,805.0
1012.0,930.0,510.0,1087.0,732.0
747.0,886.0,399.0,943.0,704.0
778.0,878.0,451.0,1023.0,819.0
726.0,894.0,431.0,1042.0,822.0
764.0,904.0,385.0,954.0,798.0
847.0,902.0,439.0,1001.0,784.0
940.0,964.0,438.0,1075.0,679.0
840.0,862.0,455.0,1021.0,745.0
869.0,975.0,451.0,1061.0,789.0
814.0,937.0,440.0,960.0,704.0
930.0,994.0,469.0,1106.0,768.0
718.0,851.0,402.0,1040.0,803.0
1021.0,1045.0,464.0,1170.0,760.0
706.0,856.0,421.0,930.0,758.0
993.0,1050.0,433.0,1089.0,836.0
871.0,974.0,448.0,1160.0,793.0
801.0,931.0,414.0,1064.0,802.0
820.0,933.0,447.0,915.0,847.0
771.0,864.0,418.0,954.0,869.0
703.0,860.0,409.0,930.0,774.0
710.0,805.0,395.0,947.0,783.0
745.0,834.0,410.0,986.0,735.0
750.0,902.0,463.0,972.0,804.0
1030.0,1070.0,436.0,1134.0,795.0
792.0,790.0,425.0,988.0,796.0
709.0,822.0,420.0,900.0,723.0
757.0,899.0,440.0,980.0,837.0
762.0,833.0,394.0,981.0,770.0
1073.0,1046.0,473.0,1110.0,792.0
789.0,999.0,450.0,1144.0,804.0
804.0,907.0,430.0,1154.0,895.0
1080.0,1090.0,481.0,1364.0,804.0
828.0,942.0,435.0,992.0,833.0
839.0,927.0,438.0,1062.0,784.0
645.0,801.0,390.0,954.0,700.0
672.0,928.0,438.0,971.0,801.0
744.0,858.0,422.0,971.0,783.0
807.0,923.0,409.0,996.0,859.0
810.0,953.0,450.0,1000.0,778.0
731.0,848.0,436.0,1017.0,736.0
760.0,799.0,401.0,901.0,789.0
886.0,901.0,413.0,1032.0,775.0
1025.0,1081.0,498.0,1208.0,752.0
959.0,975.0,429.0,1068.0,773.0
916.0,1017.0,468.0,1099.0,848.0
763.0,876.0,418.0,1016.0,861.0
758.0,836.0,415.0,928.0,797.0
1117.0,1209.0,521.0,1220.0,814.0
812.0,950.0,455.0,1105.0,850.0
1085.0,1012.0,454.0,1251.0,746.0
729.0,870.0,450.0,1130.0,963.0
848.0,908.0,410.0,1012.0,817.0
668.0,767.0,375.0,886.0,745.0
870.0,1050.0,472.0,1100.0,749.0
959.0,1073.0,492.0,1160.0,801.0
811.0,885.0,443.0,1159.0,856.0
756.0,814.0,393.0,1017.0,801.0
685.0,865.0,440.0,930.0,778.0
775.0,884.0,464.0,1124.0,768.0
780.0,890.0,455.0,1053.0,787.0
944.0,958.0,452.0,1138.0,722.0
790.0,917.0,410.0,880.0,787.0
761.0,862.0,459.0,1005.0,826.0
710.0,815.0,418.0,845.0,712.0
968.0,1024.0,464.0,1215.0,778.0
755.0,857.0,402.0,926.0,879.0
752.0,891.0,416.0,1054.0,709.0
700.0,859.0,432.0,924.0,714.0
1075.0,1081.0,459.0,1142.0,826.0
715.0,808.0,400.0,959.0,706.0
864.0,980.0,451.0,1037.0,837.0
675.0,846.0,432.0,937.0,797.0
774.0,896.0,441.0,982.0,792.0
