Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
34.0,178.0,54.0,39.0,Rectangle,0.0,0.0,1.0,0.0,60.0
64.0,166.0,94.0,41.5,Rectangle,0.0,0.0,1.0,0.0,94.5
57.0,160.0,61.0,39.0,Rectangle,0.0,0.0,1.0,0.0,63.8
30.0,175.0,57.0,39.0,Rectangle,0.0,0.0,1.0,0.0,58.9
22.0,168.0,69.0,41.0,Rectangle,0.0,0.0,1.0,0.0,72.0
24.6,175.0,60.0,40.0,Hourglass,1.0,0.0,0.0,0.0,62.3
27.3,170.0,70.0,40.0,Rectangle,0.0,0.0,1.0,0.0,84.4
23.0,165.0,55.0,37.0,Hourglass,1.0,0.0,0.0,0.0,59.0
19.0,182.0,57.0,42.0,Triangle,0.0,0.0,0.0,1.0,56.0
40.0,159.0,57.0,37.0,Hourglass,1.0,0.0,0.0,0.0,59.9
53.0,178.0,65.0,44.0,Rectangle,0.0,0.0,1.0,0.0,68.9
36.0,167.0,60.0,39.0,Hourglass,1.0,0.0,0.0,0.0,60.4
30.0,169.0,58.0,39.0,Hourglass,1.0,0.0,0.0,0.0,57.5
19.3,168.0,51.0,38.0,Rectangle,0.0,0.0,1.0,0.0,51.5
35.0,161.0,67.0,40.0,Rectangle,0.0,0.0,1.0,0.0,64.8
59.0,176.0,65.0,40.0,Rectangle,0.0,0.0,1.0,0.0,66.8
33.0,168.0,100.0,42.0,Rectangle,0.0,0.0,1.0,0.0,105.0
27.2,160.0,55.0,36.0,Triangle,0.0,0.0,0.0,1.0,55.0
47.0,153.0,60.0,36.0,Rectangle,0.0,0.0,1.0,0.0,61.9
26.0,175.0,98.0,43.0,Inverted Triangle,0.0,1.0,0.0,0.0,101.7
40.2,162.0,50.0,36.0,Triangle,0.0,0.0,0.0,1.0,53.2
39.0,182.0,78.0,38.0,Rectangle,0.0,0.0,1.0,0.0,77.4
43.0,165.0,75.0,37.0,Triangle,0.0,0.0,0.0,1.0,81.0
44.0,176.0,87.0,41.0,Rectangle,0.0,0.0,1.0,0.0,89.8
51.0,168.0,78.5,39.0,Rectangle,0.0,0.0,1.0,0.0,80.1
