"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
775.0,914.0,780.0,475.0,968.0,804.0,554.0,447.0,1048.0,552.0,934.0,60.0,67.53,87.07
1055.0,1234.0,1040.0,484.0,1168.0,791.0,691.0,453.0,1075.0,621.0,1093.0,94.5,70.79,86.09
832.0,970.0,839.0,404.0,1035.0,747.0,620.0,407.0,970.0,555.0,903.0,63.8,64.17,77.34
755.0,894.0,778.0,402.0,926.0,879.0,540.0,403.0,1077.0,584.0,857.0,58.9,75.39,76.13
927.0,1017.0,801.0,415.0,1056.0,806.0,627.0,433.0,992.0,580.0,911.0,72.0,62.21,83.91
694.0,892.0,728.0,457.0,983.0,857.0,561.0,394.0,1079.0,610.0,829.0,62.3,75.0,85.0
1025.0,1155.0,962.0,470.0,1100.0,794.0,644.0,478.0,998.0,596.0,1029.0,84.4,62.0,74.0
678.0,881.0,759.0,418.0,983.0,761.0,584.0,413.0,1013.0,574.0,838.0,59.0,57.68,76.09
750.0,811.0,626.0,427.0,916.0,890.0,507.0,378.0,1125.0,610.0,776.0,56.0,70.03,82.82
725.0,955.0,816.0,450.0,1006.0,730.0,582.0,411.0,965.0,575.0,929.0,59.9,59.31,77.0
849.0,996.0,817.0,446.0,984.0,820.0,533.0,435.0,1060.0,633.0,946.0,68.9,78.24,92.1
753.0,891.0,805.0,414.0,1011.0,781.0,565.0,393.0,1023.0,570.0,851.0,60.4,71.61,87.78
695.0,878.0,787.0,416.0,964.0,747.0,535.0,404.0,1021.0,549.0,868.0,57.5,67.85,82.56
760.0,889.0,735.0,401.0,901.0,789.0,505.0,377.0,978.0,598.0,799.0,51.5,62.0,70.0
833.0,968.0,818.0,376.0,1009.0,768.0,590.0,423.0,976.0,598.0,889.0,64.8,61.98,86.91
786.0,936.0,812.0,456.0,1024.0,803.0,595.0,414.0,1070.0,576.0,896.0,66.8,66.43,87.91
1028.0,1176.0,981.0,482.0,1202.0,799.0,759.0,465.0,1073.0,620.0,1087.0,105.0,76.63,95.67
766.0,888.0,760.0,422.0,990.0,695.0,560.0,420.0,910.0,551.0,873.0,55.0,61.0,68.0
808.0,979.0,814.0,414.0,1001.0,665.0,572.0,387.0,924.0,544.0,918.0,61.9,54.0,70.0
1063.0,1193.0,980.0,469.0,1082.0,817.0,640.0,503.0,1104.0,644.0,1140.0,101.7,71.07,90.64
750.0,852.0,738.0,421.0,951.0,735.0,535.0,410.0,949.0,588.0,821.0,53.2,62.0,76.0
884.0,1057.0,883.0,464.0,1123.0,856.0,623.0,438.0,1120.0,617.0,953.0,77.4,80.76,84.87
958.0,1019.0,840.0,452.0,1171.0,760.0,693.0,461.0,1000.0,577.0,967.0,81.0,64.49,67.33
993.0,1125.0,881.0,433.0,1089.0,836.0,645.0,449.0,1085.0,610.0,1050.0,89.8,75.94,82.52
966.0,1081.0,869.0,498.0,1036.0,771.0,604.0,457.0,1052.0,560.0,982.0,80.1,69.25,76.54
758.0,912.0,765.0,430.0,1055.0,832.0,610.0,432.0,1064.0,627.0,890.0,67.2,64.0,72.0
847.0,944.0,812.0,445.0,973.0,748.0,552.0,434.0,959.0,600.0,926.0,62.7,66.0,74.0
709.0,843.0,722.0,420.0,900.0,723.0,541.0,403.0,913.0,594.0,822.0,50.8,58.0,62.0
882.0,971.0,818.0,425.0,1137.0,734.0,665.0,437.0,1029.0,580.0,921.0,72.3,65.0,78.0
762.0,830.0,712.0,430.0,971.0,775.0,573.0,410.0,1000.0,581.0,800.0,57.9,68.0,72.0
928.0,1107.0,931.0,495.0,977.0,830.0,563.0,476.0,1088.0,631.0,1031.0,83.2,72.31,77.05
640.0,882.0,757.0,419.0,965.0,706.0,539.0,396.0,971.0,521.0,872.0,55.6,61.45,78.34
937.0,984.0,867.0,440.0,1021.0,763.0,527.0,427.0,957.0,592.0,957.0,66.4,60.31,76.62
833.0,985.0,886.0,446.0,1125.0,808.0,644.0,433.0,1056.0,594.0,934.0,75.9,65.71,76.57
837.0,1045.0,838.0,410.0,1056.0,760.0,610.0,421.0,1022.0,555.0,955.0,74.1,57.41,80.76
899.0,1005.0,851.0,429.0,1071.0,754.0,635.0,428.0,1024.0,570.0,851.0,76.3,63.87,80.37
675.0,876.0,772.0,413.0,950.0,831.0,524.0,401.0,1062.0,589.0,845.0,58.4,66.22,82.12
665.0,815.0,694.0,400.0,952.0,769.0,540.0,405.0,1014.0,587.0,845.0,52.6,58.0,69.0
