Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,ratio,Inverted Triangle,Rectangle,Triangle
37.0,203.0,85.0,46.0,Triangle,1.0740740740740742,0.0,0.0,1.0
21.0,185.0,72.0,44.5,Inverted Triangle,1.2344913151364765,1.0,0.0,0.0
19.6,185.0,85.0,43.5,Inverted Triangle,1.201111111111111,1.0,0.0,0.0
20.0,196.0,75.0,45.0,Inverted Triangle,1.1778319123020706,1.0,0.0,0.0
38.6,178.0,79.0,42.0,Inverted Triangle,1.3101265822784811,1.0,0.0,0.0
27.0,189.0,111.0,44.0,Rectangle,1.1330143540669857,0.0,1.0,0.0
39.9,172.0,67.0,43.0,Inverted Triangle,1.1711026615969582,1.0,0.0,0.0
50.0,169.0,68.0,41.0,Triangle,1.079295154185022,0.0,0.0,1.0
18.2,179.0,69.0,42.0,Rectangle,1.1670731707317072,0.0,1.0,0.0
58.0,180.0,89.0,42.0,Inverted Triangle,1.171578947368421,1.0,0.0,0.0
31.5,167.0,70.0,43.0,Inverted Triangle,1.1764705882352942,1.0,0.0,0.0
47.0,176.0,86.0,42.5,Triangle,1.1057591623036649,0.0,0.0,1.0
46.7,175.0,72.0,43.0,Triangle,1.0978627671541057,0.0,0.0,1.0
25.5,180.0,85.0,43.0,Rectangle,1.1664779161947905,0.0,1.0,0.0
60.0,168.0,71.0,38.0,Rectangle,1.165727170236753,0.0,1.0,0.0
39.0,180.0,86.0,42.0,Triangle,1.0874089490114465,0.0,0.0,1.0
29.0,179.0,72.0,42.0,Rectangle,1.1561382598331347,0.0,1.0,0.0
63.0,214.0,125.0,49.0,Triangle,1.075880758807588,0.0,0.0,1.0
43.0,175.0,60.0,38.0,Rectangle,1.1548731642189587,0.0,1.0,0.0
27.2,190.0,69.0,43.5,Inverted Triangle,1.3008130081300813,1.0,0.0,0.0
59.6,175.0,70.0,42.0,Triangle,0.9958333333333333,0.0,0.0,1.0
27.5,180.0,80.0,43.0,Inverted Triangle,1.1711924439197166,1.0,0.0,0.0
50.0,187.0,78.0,44.0,Rectangle,1.1371681415929205,0.0,1.0,0.0
36.0,188.0,115.0,44.0,Triangle,1.0720887245841035,0.0,0.0,1.0
25.4,177.0,71.0,40.5,Inverted Triangle,1.2688442211055277,1.0,0.0,0.0
48.0,171.0,78.0,41.0,Rectangle,1.1526548672566372,0.0,1.0,0.0
46.8,172.0,78.0,41.0,Inverted Triangle,1.20158550396376,1.0,0.0,0.0
44.7,168.0,70.0,42.0,Rectangle,1.1394557823129252,0.0,1.0,0.0
23.0,188.0,79.0,43.0,Inverted Triangle,1.2408759124087592,1.0,0.0,0.0
42.0,186.0,78.0,43.0,Inverted Triangle,1.180327868852459,1.0,0.0,0.0
32.0,180.0,81.0,42.0,Inverted Triangle,1.2147887323943662,1.0,0.0,0.0
32.0,176.0,81.0,43.0,Rectangle,1.1672597864768683,0.0,1.0,0.0
57.0,183.0,96.0,44.0,Triangle,1.0979228486646884,0.0,0.0,1.0
30.0,191.0,88.0,44.0,Rectangle,1.1570964247020585,0.0,1.0,0.0
27.0,187.0,80.0,42.5,Triangle,1.102923976608187,0.0,0.0,1.0
56.0,195.0,90.0,45.0,Triangle,1.0389473684210526,0.0,0.0,1.0
35.0,180.0,70.0,42.0,Inverted Triangle,1.1702702702702703,1.0,0.0,0.0
43.0,184.0,102.0,43.0,Triangle,1.0616698292220115,0.0,0.0,1.0
29.1,181.0,82.0,42.5,Inverted Triangle,1.1715909090909091,1.0,0.0,0.0
61.0,177.0,76.0,43.0,Triangle,1.077812828601472,0.0,0.0,1.0
24.3,170.0,80.0,42.5,Triangle,1.0752118644067796,0.0,0.0,1.0
47.0,169.0,102.0,41.0,Rectangle,1.1315261044176708,0.0,1.0,0.0
