Subject Number,shape
4274,Rectangle
15766,Triangle
14035,Rectangle
15725,Triangle
16204,Triangle
16570,Triangle
4754,Inverted Triangle
15282,Triangle
4400,Inverted Triangle
4504,Rectangle
4799,Rectangle
16126,Rectangle
16781,Rectangle
11298,Inverted Triangle
4568,Triangle
4387,Rectangle
11426,Triangle
15909,Triangle
4411,Triangle
16647,Rectangle
4689,Inverted Triangle
16249,Triangle
16686,Rectangle
16593,Rectangle
4629,Inverted Triangle
4565,Inverted Triangle
16836,Triangle
16077,Triangle
4332,Inverted Triangle
15649,Rectangle
16565,Triangle
16536,Triangle
16889,Rectangle
15612,Inverted Triangle
16064,Inverted Triangle
4088,Triangle
14032,Triangle
14030,Inverted Triangle
4067,Rectangle
15619,Rectangle
11251,Triangle
15453,Inverted Triangle
15906,Triangle
4151,Rectangle
16459,Triangle
4345,Rectangle
16590,Inverted Triangle
4405,Inverted Triangle
14033,Rectangle
4576,Rectangle
4651,Inverted Triangle
4101,Inverted Triangle
16569,Inverted Triangle
4004,Rectangle
4050,Rectangle
4190,Inverted Triangle
16908,Inverted Triangle
15892,Triangle
16365,Triangle
4437,Inverted Triangle
4792,Inverted Triangle
4118,Rectangle
16709,Triangle
4362,Rectangle
16791,Rectangle
15893,Rectangle
4652,Rectangle
15242,Triangle
17060,Triangle
14006,Rectangle
15328,Triangle
4583,Inverted Triangle
15985,Rectangle
15857,Triangle
15886,Triangle
4780,Inverted Triangle
11323,Triangle
11314,Rectangle
16842,Inverted Triangle
16244,Inverted Triangle
4134,Triangle
4107,Rectangle
15925,Triangle
4316,Rectangle
16767,Rectangle
14042,Rectangle
15238,Triangle
4755,Inverted Triangle
4396,Triangle
16892,Inverted Triangle
16264,Inverted Triangle
4432,Inverted Triangle
16783,Rectangle
4270,Rectangle
16624,Triangle
4094,Rectangle
4527,Rectangle
4286,Inverted Triangle
16736,Rectangle
16884,Inverted Triangle
4297,Triangle
15867,Rectangle
11074,Rectangle
14014,Triangle
4644,Inverted Triangle
4272,Inverted Triangle
16132,Triangle
4324,Rectangle
15341,Triangle
15834,Triangle
15230,Inverted Triangle
15508,Triangle
16646,Rectangle
4682,Rectangle
15945,Rectangle
16707,Inverted Triangle
4279,Triangle
17016,Rectangle
15276,Triangle
11142,Triangle
4290,Inverted Triangle
15456,Triangle
4254,Rectangle
4007,Rectangle
4517,Inverted Triangle
16763,Inverted Triangle
16537,Triangle
4586,Triangle
15486,Rectangle
4197,Triangle
16329,Triangle
11289,Rectangle
4623,Triangle
4206,Triangle
16252,Rectangle
4338,Triangle
15268,Triangle
4346,Rectangle
16839,Rectangle
4061,Inverted Triangle
4238,Inverted Triangle
4475,Inverted Triangle
16532,Triangle
4734,Rectangle
16809,Rectangle
16627,Inverted Triangle
4212,Rectangle
4044,Triangle
16738,Inverted Triangle
11131,Triangle
16436,Rectangle
15371,Triangle
16577,Inverted Triangle
16375,Triangle
4114,Triangle
4196,Triangle
11029,Triangle
4401,Rectangle
16831,Rectangle
4174,Triangle
16260,Triangle
15897,Triangle
16894,Rectangle
4633,Rectangle
4071,Inverted Triangle
