"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
918.0,984.0,498.0,1040.0,972.0,549.0,462.0,1266.0,706.0,986.0,87.0,80.03,103.44
806.0,962.0,460.0,997.0,867.0,574.0,473.0,1108.0,653.0,995.0,74.6,78.53,98.5
900.0,1027.0,510.0,1057.0,873.0,598.0,478.0,1062.0,671.0,1081.0,86.5,80.0,94.0
821.0,949.0,481.0,1012.0,933.0,584.0,466.0,1165.0,710.0,967.0,77.0,76.36,92.1
790.0,985.0,479.0,975.0,792.0,593.0,491.0,1032.0,632.0,1035.0,78.3,66.0,73.0
1045.0,1175.0,470.0,1110.0,886.0,661.0,497.0,1116.0,708.0,1184.0,110.4,75.03,95.57
789.0,940.0,463.0,997.0,815.0,563.0,421.0,1040.0,609.0,924.0,66.6,78.0,80.0
908.0,981.0,462.0,990.0,745.0,570.0,440.0,1000.0,601.0,980.0,70.6,59.16,71.89
820.0,959.0,455.0,966.0,862.0,585.0,447.0,1060.0,669.0,957.0,69.0,66.0,76.0
950.0,1116.0,507.0,1002.0,848.0,542.0,477.0,1074.0,638.0,1113.0,90.4,73.82,87.03
816.0,940.0,484.0,962.0,707.0,568.0,466.0,934.0,610.0,960.0,69.7,63.0,78.0
955.0,1061.0,508.0,1062.0,777.0,582.0,496.0,1045.0,631.0,1056.0,88.8,68.15,89.62
889.0,985.0,483.0,956.0,806.0,544.0,452.0,1022.0,627.0,976.0,75.3,68.0,87.0
883.0,1012.0,491.0,1064.0,817.0,647.0,487.0,1062.0,659.0,1030.0,85.1,76.0,88.0
887.0,1029.0,469.0,843.0,767.0,532.0,452.0,975.0,619.0,1034.0,72.8,54.88,94.75
961.0,1018.0,514.0,1072.0,813.0,646.0,495.0,993.0,585.0,1045.0,87.8,69.8,96.7
839.0,970.0,453.0,980.0,834.0,586.0,439.0,1053.0,612.0,970.0,72.5,73.58,77.34
1107.0,1255.0,523.0,1166.0,1030.0,695.0,487.0,1165.0,723.0,1191.0,127.5,90.04,97.61
749.0,858.0,455.0,872.0,836.0,473.0,425.0,1048.0,592.0,865.0,55.4,79.48,86.79
738.0,939.0,470.0,964.0,870.0,520.0,491.0,1116.0,681.0,960.0,68.1,80.0,87.0
960.0,994.0,470.0,990.0,772.0,580.0,433.0,1000.0,612.0,956.0,76.5,70.0,78.0
847.0,947.0,476.0,1033.0,794.0,611.0,468.0,1012.0,663.0,992.0,79.7,74.0,89.0
904.0,991.0,490.0,1026.0,845.0,540.0,488.0,1085.0,664.0,1028.0,82.5,68.37,92.77
1082.0,1177.0,567.0,1122.0,876.0,635.0,510.0,1130.0,674.0,1160.0,108.8,75.89,96.45
796.0,981.0,460.0,985.0,795.0,564.0,480.0,1025.0,608.0,1010.0,71.0,70.0,84.0
904.0,1031.0,496.0,1004.0,764.0,594.0,493.0,975.0,611.0,1042.0,78.0,61.06,87.24
883.0,1054.0,493.0,985.0,796.0,540.0,479.0,1028.0,644.0,1061.0,77.1,80.0,90.0
882.0,1056.0,490.0,956.0,731.0,516.0,430.0,938.0,603.0,1005.0,72.6,63.0,83.0
822.0,1016.0,488.0,1022.0,876.0,583.0,475.0,1138.0,670.0,1020.0,77.0,73.67,92.46
854.0,980.0,492.0,957.0,868.0,551.0,485.0,1098.0,688.0,1008.0,77.6,80.81,97.78
852.0,1023.0,481.0,983.0,871.0,579.0,473.0,1070.0,653.0,1035.0,80.0,61.35,84.64
843.0,926.0,458.0,1006.0,827.0,593.0,490.0,1043.0,638.0,984.0,79.8,82.02,94.41
1011.0,1141.0,524.0,1030.0,767.0,582.0,481.0,976.0,611.0,1110.0,96.9,70.03,85.98
923.0,1071.0,503.0,1016.0,894.0,588.0,507.0,1120.0,689.0,1068.0,91.0,73.99,87.82
855.0,940.0,492.0,1033.0,826.0,575.0,450.0,1077.0,642.0,943.0,75.0,64.6,101.04
950.0,983.0,535.0,1078.0,963.0,602.0,481.0,1179.0,706.0,987.0,88.4,73.99,96.38
740.0,871.0,430.0,914.0,901.0,502.0,433.0,1130.0,635.0,866.0,63.4,71.55,97.81
1054.0,1129.0,497.0,1101.0,824.0,670.0,480.0,1057.0,643.0,1119.0,105.0,64.65,92.82
880.0,974.0,490.0,1030.0,800.0,620.0,506.0,1028.0,653.0,1031.0,80.7,74.0,82.0
951.0,1032.0,465.0,953.0,796.0,553.0,440.0,1025.0,612.0,1025.0,79.1,58.03,78.91
944.0,1003.0,474.0,1081.0,738.0,657.0,481.0,971.0,587.0,1015.0,83.0,72.0,88.0
996.0,1179.0,512.0,1094.0,749.0,597.0,481.0,913.0,587.0,1127.0,101.3,62.23,93.12
793.0,991.0,503.0,945.0,785.0,543.0,457.0,997.0,609.0,990.0,68.5,60.0,75.0
