Subject Number,Acromial Ht Stand Lt (mm) ,Acromial Ht Stand Rt (mm) ,Acromion-Radiale Len Lt (mm) ,Acromion-Radiale Len Rt (mm) ,"Ankle Ht Lt (Malleolus, Lateral) (mm) ","Ankle Ht Rt (Malleolus, Lateral) (mm)",Arm Inseam Lt (mm) ,Arm Inseam Rt (mm) ,Axilla Ht Lt (mm) ,Axilla Ht Rt (mm) ,Biacromial Brth (mm) ,Bicristale Brth (mm) ,Bigonial Brth (mm) ,Bispinous Brth (mm) ,Bitragion Brth (mm) ,Bitrochanteric Brth Stand (mm) ,Bustpoint Brth (mm) ,Cervicale Ht (mm) ,Chest Ht Stand (mm) ,Elbow Ht Stand Lt (mm) ,Elbow Ht Stand Rt (mm) ,Foot Brth Lt (mm) ,Foot Brth Rt (mm) ,Infraorbitale Ht Lt Stand (mm) ,Infraorbitale Ht Rt Stand (mm) ,Inter-pupillary Dst (mm) ,Interscye Dst Stand (mm) ,Knee Ht Stand Lt (mm) ,Knee Ht Stand Rt (mm) ,Malleolus Med Lt (mm) ,Malleolus Med Rt (mm),Neck Ht (mm) ,Radiale-Stylion Len Lt (mm) ,Radiale-Stylion Len Rt (mm) ,Sellion Supramenton (mm) ,Sleeve Outseam Len Lt (mm) ,Sleeve Outseam Len Rt (mm) ,Sphyrion Ht Lt (mm) ,Sphyrion Ht Rt (mm) ,Suprasternale Ht (mm) ,Trochanterion Ht Lt (mm) ,Trochanterion Ht Rt (mm) ,Waist Back (mm)
4000,1404.00,1410.00,322.33,314.39,72.00,68.00,434.95,451.24,1278.00,1288.00,376.90,312.89,116.98,238.17,155.80,344.16,232.39,1476.00,1222.00,1084.00,1094.00,106.65,102.10,1588.00,1590.00,66.39,345.22,484.00,480.00,82.00,85.00,80.92,251.97,264.31,95.96,560.26,562.59,62.00,60.00,1386.00,920.00,902.00,470.99
4001,1434.00,1408.00,339.67,332.31,72.00,70.00,451.81,464.15,1300.00,1286.00,398.22,325.48,120.98,249.88,136.76,349.77,233.73,1490.00,1248.00,1112.00,1073.00,105.67,105.97,1592.00,1590.00,61.82,354.27,462.00,460.00,80.00,86.00,101.54,250.35,262.03,90.06,580.14,578.67,58.00,64.00,1402.00,928.00,920.00,455.26
4002,1418.00,1412.00,327.35,317.24,56.00,56.00,443.94,446.06,1276.00,1280.00,392.55,316.17,117.18,263.82,147.92,382.34,193.32,1478.00,1214.00,1092.00,1101.00,99.34,91.15,1596.00,1595.00,65.12,373.43,470.00,470.00,70.00,66.00,98.00,259.52,265.18,92.07,571.85,563.80,52.00,50.00,1403.00,932.00,932.00,426.09
4003,1332.00,1330.00,302.35,306.17,58.00,58.00,431.09,442.48,1210.00,1220.00,380.26,290.17,111.94,262.04,146.53,360.19,179.97,1390.00,1166.00,1045.00,1039.00,93.70,94.48,1506.00,1508.00,63.99,355.78,436.00,440.00,74.00,72.00,100.03,244.56,243.42,89.16,550.08,547.52,56.00,50.00,1332.00,910.00,908.00,383.61
4004,1458.00,1434.00,326.13,318.70,66.00,72.00,464.63,471.67,1338.00,1332.00,379.11,313.83,120.68,234.71,151.79,337.24,213.28,1496.00,1294.00,1138.00,1115.00,99.42,99.78,1606.00,1600.00,71.16,343.55,484.00,486.00,78.00,78.00,118.05,257.14,265.31,94.00,564.40,566.49,60.00,60.00,1426.00,954.00,948.00,425.53
4005,1400.00,1380.00,334.62,320.55,62.00,62.00,448.91,454.42,1268.00,1260.00,337.21,281.96,111.65,247.64,137.59,339.82,167.46,1430.00,1234.00,1066.00,1049.00,101.82,99.69,1526.00,1530.00,63.22,317.27,466.00,464.00,74.00,70.00,97.21,252.99,264.08,90.96,577.06,574.28,56.00,52.00,1345.00,921.00,914.00,453.20
4006,1335.00,1328.00,306.38,312.50,64.00,70.00,444.29,461.56,1238.00,1234.00,342.96,266.07,109.06,222.26,136.38,339.69,183.00,1385.00,1184.00,1034.00,1020.00,89.25,92.25,1492.00,1494.00,68.14,319.88,442.00,436.00,60.00,70.00,87.34,237.94,253.65,92.65,534.57,554.06,44.00,50.00,1300.00,896.00,874.00,385.31
4007,1418.00,1406.00,329.12,321.22,58.00,62.00,435.07,451.24,1270.00,1270.00,410.02,360.47,132.09,265.13,153.82,359.64,254.21,1474.00,1221.00,1089.00,1081.00,105.97,100.85,1606.00,1598.00,69.46,398.60,473.00,474.00,70.00,75.00,97.46,266.16,282.57,98.32,584.17,585.88,54.00,53.00,1387.00,947.00,946.00,469.29
4008,1292.00,1268.00,289.88,284.81,56.00,56.00,401.95,401.82,1186.00,1170.00,354.07,280.11,112.64,217.71,139.82,346.50,168.49,1337.00,1120.00,1006.00,987.00,89.78,92.58,1424.00,1426.00,67.72,341.12,412.00,412.00,68.00,70.00,92.72,228.80,231.08,86.80,501.19,495.26,52.00,52.00,1254.00,846.00,840.00,375.05
4009,1350.00,1340.00,313.75,309.29,64.00,60.00,430.03,438.02,1226.00,1228.00,364.98,273.46,107.98,222.55,144.94,334.63,171.01,1408.00,1186.00,1034.00,1027.00,97.15,84.82,1495.00,1494.00,72.87,339.72,448.00,448.00,74.00,74.00,90.12,247.36,252.26,84.37,548.38,544.08,53.00,56.00,1303.00,888.00,870.00,455.65
