Subject Number,Gender,Recorder,Measurer,"Acromial Height, Sitting (mm)",Ankle Circumference (mm),Spine-to-Shoulder (mm),Spine-to-Elbow (mm),Arm Length (Spine to Wrist) (mm),Arm Length (Shoulder to Wrist) (mm),Arm Length (Shoulder to Elbow) (mm),Armscye Circumference (Scye Circ Over Acromion) (mm),Bizygomatic Breadth (mm),Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Buttock-Knee Length (mm),Chest Girth at Scye (Chest Circumference at Scye) (mm),Crotch Height (mm),"Elbow Height, Sitting (mm)","Eye Height, Sitting (mm)",Face Length (mm),Foot Length (mm),Hand Circumference (mm),Hand Length (mm),Head Breadth (mm),Head Circumference (mm),Head Length (mm),"Hip Breadth, Sitting (mm)","Hip Circumference, Maximum (mm)",Hip Circ Max Height (mm),Knee Height (mm),Neck Base Circumference (mm),Shoulder Breadth (mm),Sitting Height (mm),Stature (mm),Subscapular Skinfold (mm),Thigh Circumference (mm),Thigh Circumference Max Sitting (mm),Thumb Tip Reach (mm),TTR 1 (mm),TTR 2 (mm),TTR 3 (mm),Triceps Skinfold (mm),Total Crotch Length (Crotch Length) (mm),Vertical Trunk Circumference (mm),"Waist Circumference, Pref (mm)",Waist Front Length (mm),"Waist Height, Preferred (mm)",Weight (kg)
4000,Male,Catia Di Ceglia,Silvia Penna,584.00,245.00,192.00,538.00,812.00,620.00,346.00,434.00,144.00,965.00,,590.00,967.00,794.00,222.00,764.00,121.00,254.00,196.00,189.00,146.00,584.00,202.00,340.00,930.00,811.00,543.00,490.00,427.00,877.00,1705.00,25.50,556.00,553.00,781.33,780.00,787.00,777.00,18.00,610.00,1643.00,826.00,432.00,995.00,71.50
4001,Male,Silvia Penna,Roberta Borghesi,590.00,255.00,185.00,541.00,810.00,625.00,356.00,405.00,137.00,936.00,,600.00,941.00,797.00,217.00,803.00,111.00,259.00,196.00,196.00,144.00,549.00,185.00,365.00,967.00,818.00,520.00,478.00,447.00,931.00,1739.00,12.00,547.00,570.00,786.67,781.00,789.00,790.00,14.00,655.00,1660.00,814.00,457.00,1015.00,72.40
4002,Female,Roberta Borghesi,Anna Riley,586.00,251.00,197.00,545.00,822.00,625.00,348.00,418.00,137.00,988.00,770.00,631.00,908.00,838.00,229.00,774.00,116.00,255.00,195.00,188.00,160.00,590.00,196.00,424.00,1048.00,855.00,533.00,473.00,431.00,899.00,1729.00,15.00,608.00,617.00,798.33,800.00,798.00,797.00,19.50,647.00,1580.00,752.00,402.00,1056.00,71.30
4003,Female,Catia Di Ceglia,Roberta Borghesi,564.00,240.00,212.00,517.00,795.00,583.00,305.00,403.00,141.00,965.00,781.00,577.00,914.00,764.00,225.00,760.00,105.00,242.00,187.00,192.00,155.00,550.00,177.00,373.00,1001.00,789.00,516.00,481.00,432.00,852.00,1634.00,10.00,570.00,593.00,787.00,775.00,792.00,794.00,18.00,663.00,1566.00,759.00,395.00,1003.00,61.70
4004,Male,Catia Di Ceglia,Silvia Penna,569.00,261.00,199.00,529.00,812.00,613.00,330.00,402.00,134.00,917.00,,614.00,902.00,849.00,217.00,770.00,116.00,257.00,192.00,196.00,141.00,549.00,192.00,347.00,940.00,885.00,555.00,470.00,410.00,882.00,1740.00,10.00,553.00,554.00,806.00,797.00,809.00,812.00,15.00,618.00,1562.00,787.00,386.00,1076.00,66.70
4005,Female,Silvia Penna,Catia Di Ceglia,593.00,244.00,166.00,506.00,795.00,629.00,340.00,364.00,127.00,849.00,730.00,595.00,823.00,800.00,242.00,763.00,112.00,258.00,189.00,192.00,143.00,554.00,184.00,377.00,974.00,848.00,532.00,436.00,384.00,872.00,1679.00,14.00,512.00,546.00,737.33,746.00,737.00,729.00,20.00,546.00,1550.00,792.00,435.00,961.00,56.00
4006,Female,Silvia Penna,Anna Riley,544.00,226.00,182.00,507.00,795.00,613.00,325.00,370.00,127.00,851.00,714.00,571.00,838.00,798.00,212.00,735.00,106.00,240.00,175.00,188.00,142.00,527.00,175.00,376.00,930.00,813.00,503.00,439.00,378.00,822.00,1612.00,12.50,529.00,540.00,752.33,754.00,757.00,746.00,15.00,537.00,1436.00,716.00,392.00,983.00,52.00
4007,Male,Anna Riley,Catia Di Ceglia,573.00,260.00,201.00,556.00,841.00,640.00,355.00,457.00,144.00,1050.00,,597.00,1037.00,808.00,202.00,793.00,117.00,265.00,205.00,196.00,152.00,571.00,196.00,384.00,1002.00,860.00,542.00,505.00,463.00,905.00,1733.00,21.00,579.00,580.00,815.67,801.00,812.00,834.00,10.00,553.00,1582.00,888.00,434.00,999.00,77.00
4008,Female,Anna Riley,Catia Di Ceglia,554.00,235.00,188.00,474.00,732.00,544.00,286.00,349.00,133.00,870.00,711.00,558.00,805.00,717.00,236.00,731.00,110.00,201.00,172.00,170.00,146.00,550.00,183.00,402.00,998.00,736.00,481.00,440.00,384.00,838.00,1561.00,12.00,555.00,569.00,692.00,692.00,689.00,695.00,22.00,662.00,1459.00,643.00,342.00,967.00,54.30
4009,Female,Anna Riley,Catia Di Ceglia,564.00,243.00,209.00,540.00,820.00,611.00,331.00,365.00,135.00,849.00,745.00,566.00,828.00,780.00,222.00,746.00,105.00,244.00,188.00,183.00,146.00,550.00,182.00,369.00,940.00,783.00,512.00,439.00,408.00,851.00,1639.00,8.00,540.00,553.00,733.00,739.00,731.00,729.00,15.00,524.00,1409.00,730.00,383.00,967.00,55.30
