"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
936.0,1025.0,500.0,1020.0,741.0,610.0,475.0,933.0,573.0,1065.0,60.0,80.0
880.0,973.0,456.0,1018.0,785.0,580.0,458.0,1052.0,628.0,964.0,74.0,87.0
857.0,948.0,472.0,1018.0,874.0,559.0,471.0,1110.0,678.0,990.0,78.41000366210938,85.86000061035156
813.0,908.0,466.0,974.0,835.0,555.0,471.0,1082.0,637.0,936.0,82.13999938964844,98.62999725341797
833.0,910.0,444.0,988.0,865.0,549.0,459.0,1045.0,655.0,931.0,89.27999877929688,104.41000366210938
893.0,1005.0,451.0,1021.0,799.0,580.0,439.0,981.0,625.0,1000.0,75.16999816894531,91.05999755859375
772.0,925.0,469.0,905.0,776.0,537.0,457.0,993.0,612.0,936.0,66.0,74.0
959.0,1199.0,504.0,1089.0,750.0,540.0,479.0,972.0,615.0,1139.0,65.44000244140625,71.79000091552734
750.0,846.0,429.0,935.0,883.0,502.0,422.0,1091.0,659.0,848.0,78.22000122070312,85.01000213623047
773.0,892.0,444.0,967.0,796.0,550.0,438.0,1041.0,595.0,909.0,67.91999816894531,81.98999786376953
747.0,895.0,485.0,952.0,817.0,553.0,460.0,1030.0,606.0,938.0,70.81999969482422,88.87000274658203
749.0,858.0,455.0,872.0,836.0,473.0,425.0,1048.0,592.0,865.0,79.4800033569336,86.79000091552734
961.0,1117.0,490.0,1003.0,797.0,580.0,466.0,950.0,634.0,1078.0,76.0,77.0
1160.0,1219.0,577.0,1225.0,857.0,733.0,544.0,1054.0,672.0,1160.0,76.51000213623047,99.05999755859375
750.0,871.0,437.0,905.0,759.0,531.0,407.0,1005.0,604.0,890.0,71.0,74.0
686.0,842.0,452.0,874.0,806.0,486.0,416.0,1012.0,625.0,884.0,70.0,86.0
732.0,844.0,475.0,910.0,786.0,537.0,407.0,975.0,627.0,913.0,66.0,79.0
870.0,965.0,475.0,949.0,741.0,525.0,439.0,999.0,626.0,996.0,68.0,71.0
655.0,830.0,450.0,870.0,713.0,510.0,430.0,960.0,579.0,843.0,64.0,82.0
703.0,830.0,455.0,867.0,791.0,472.0,431.0,1007.0,628.0,870.0,62.0,72.0
858.0,960.0,491.0,998.0,918.0,564.0,482.0,1141.0,670.0,1025.0,75.1500015258789,92.94999694824219
938.0,1122.0,520.0,1118.0,864.0,662.0,526.0,1095.0,659.0,1119.0,74.88999938964844,86.36000061035156
