Age (Years),Gender,Reported Height (cm),Reported Weight (kg),Shoe Size NL
36,Female,167.0,60.0,40.0
47,Female,161.0,56.0,36.0
18,Female,175.0,64.0,39.0
48,Female,167.0,75.0,41.0
20,Female,159.0,49.0,38.0
56,Female,175.0,71.0,40.0
54,Female,165.0,82.0,42.0
55,Female,178.0,95.0,41.0
36,Female,170.0,65.0,39.0
22,Female,185.0,62.0,42.0
38,Female,168.0,58.0,39.0
59,Female,168.0,88.0,40.0
20,Female,173.0,55.0,39.0
47,Female,175.0,71.0,40.0
44,Female,165.0,67.0,37.0
28,Female,175.0,66.0,40.0
19,Female,180.0,70.0,42.0
59,Female,165.0,65.0,37.0
57,Female,162.0,67.0,40.0
57,Female,162.0,65.0,39.0
46,Female,168.0,64.0,39.0
36,Female,176.0,73.0,38.0
39,Female,175.0,67.0,41.0
46,Female,173.0,80.0,42.0
30,Female,165.0,60.0,37.0
32,Female,171.0,61.5,38.0
35,Female,167.0,70.0,38.0
56,Female,165.0,69.0,38.0
25,Female,177.0,63.0,39.0
38,Female,175.0,62.0,39.0
45,Female,168.0,60.0,38.0
29,Female,175.0,80.0,41.0
20,Female,163.0,97.0,40.0
22,Female,178.0,60.0,40.0
56,Female,171.0,62.0,41.0
52,Female,168.0,87.0,39.0
33,Female,176.0,62.0,39.0
23,Female,171.0,59.0,39.0
42,Female,160.0,68.0,39.0
32,Female,170.0,65.0,40.0
47,Female,165.0,70.0,37.0
48,Female,158.0,75.0,38.0
53,Female,178.0,65.0,44.0
53,Female,168.0,58.0,37.0
20,Female,169.0,55.0,39.0
33,Female,167.0,72.0,38.0
24,Female,167.0,54.0,37.0
49,Female,160.0,58.0,38.0
24,Female,180.0,69.0,41.0
22,Female,176.0,100.0,41.0
22,Female,166.0,60.0,36.0
41,Female,188.0,80.0,43.0
40,Female,173.0,90.0,41.0
40,Female,162.0,55.0,37.0
26,Female,170.0,66.0,39.0
26,Female,179.0,70.0,40.0
40,Female,159.0,57.0,37.0
55,Female,170.0,76.0,41.0
52,Female,157.0,61.0,37.0
47,Female,161.0,58.0,41.0
41,Female,166.0,54.0,38.0
22,Female,168.0,65.0,40.0
28,Female,173.0,66.0,40.0
20,Female,175.0,64.0,38.0
28,Female,170.0,58.0,38.0
28,Female,160.0,68.0,37.0
19,Female,165.0,65.0,38.0
19,Female,170.0,60.0,37.5
30,Female,178.0,72.0,39.0
53,Female,158.0,61.0,37.0
37,Female,185.0,105.0,42.0
42,Female,176.0,97.0,40.0
22,Female,160.0,103.0,41.0
25,Female,170.0,55.0,38.0
36,Female,169.0,65.0,40.0
34,Female,178.0,54.0,39.0
20,Female,180.0,68.0,40.0
30,Female,173.0,65.0,40.0
37,Female,178.0,87.0,40.0
31,Female,172.0,65.0,41.0
34,Female,165.0,71.0,39.0
28,Female,168.0,53.0,37.5
45,Female,161.0,50.0,37.0
21,Female,170.0,68.0,40.0
41,Female,181.0,60.0,39.0
27,Female,171.0,63.0,39.0
49,Female,160.0,100.0,39.0
42,Female,161.0,65.0,37.0
53,Female,170.0,96.0,39.5
54,Female,168.0,60.0,39.0
46,Female,160.0,55.0,37.0
26,Female,169.0,65.0,38.0
40,Female,176.0,79.0,40.0
37,Female,195.0,81.0,44.0
25,Female,161.0,58.0,38.0
41,Female,159.0,77.0,37.0
35,Female,158.0,60.0,37.0
36,Female,156.0,60.0,36.0
52,Female,168.0,73.0,40.0
19,Female,171.0,61.0,39.0
26,Female,175.0,98.0,43.0
36,Female,176.0,79.0,40.0
49,Female,168.0,74.0,39.0
25,Female,175.0,66.0,40.0
32,Female,165.0,65.0,37.0
62,Female,158.0,72.0,39.0
38,Female,171.0,65.0,39.0
30,Female,172.0,57.0,38.0
29,Female,160.0,67.0,37.0
32,Female,179.0,61.0,39.5
36,Female,163.0,61.0,38.0
57,Female,168.0,63.0,39.0
23,Female,164.0,58.0,38.0
29,Female,184.0,74.0,42.0
51,Female,164.0,85.0,38.0
35,Female,170.0,80.0,38.0
46,Female,172.0,74.0,39.0
21,Female,175.0,70.0,42.0
23,Female,166.0,65.5,39.0
26,Female,175.0,85.0,41.0
42,Female,176.0,60.0,39.0
29,Female,173.0,68.0,41.0
50,Female,170.0,89.0,40.0
29,Female,196.0,103.0,41.0
40,Female,180.0,75.0,40.5
26,Female,166.0,64.0,40.5
29,Female,172.0,100.0,39.0
48,Female,165.0,65.0,38.0
22,Female,160.0,57.0,36.0
61,Female,181.0,79.0,41.0
60,Female,168.0,86.0,39.0
44,Female,176.0,72.0,38.0
44,Female,162.0,92.0,38.0
24,Female,177.0,65.0,39.0
25,Female,170.0,65.0,38.0
44,Female,165.0,87.0,38.5
24,Female,167.0,60.0,37.0
24,Female,175.0,65.8,39.0
52,Female,167.0,78.0,39.0
18,Female,174.5,76.0,39.0
42,Female,178.0,83.0,40.0
23,Female,167.0,54.0,39.0
20,Female,160.0,75.0,41.0
41,Female,173.0,72.0,41.0
51,Female,170.0,65.0,37.0
20,Female,163.0,56.0,36.0
42,Female,174.0,86.0,40.0
41,Female,171.0,64.0,39.0
35,Female,170.0,71.0,38.0
59,Female,176.0,65.0,40.0
25,Female,169.0,53.0,37.0
24,Female,170.0,65.0,37.0
60,Female,174.0,90.0,40.0
26,Female,159.0,49.0,36.0
19,Female,180.0,65.0,40.0
44,Female,173.0,111.0,42.0
63,Female,162.0,66.0,38.0
20,Female,173.0,76.0,39.5
43,Female,170.0,62.0,39.0
32,Female,175.0,90.0,40.0
44,Female,176.0,87.0,41.0
33,Female,164.0,73.0,38.0
34,Female,167.0,62.0,39.0
51,Female,168.0,78.5,39.0
22,Female,168.0,69.0,41.0
57,Female,176.0,80.0,38.0
47,Female,167.0,57.0,38.0
19,Female,182.0,68.0,40.0
28,Female,167.0,63.0,39.0
35,Female,167.0,88.0,38.0
52,Female,169.0,62.0,41.0
32,Female,180.0,88.0,40.0
20,Female,176.0,80.0,40.0
45,Female,181.0,82.5,40.0
46,Female,167.0,75.0,39.0
42,Female,185.0,100.0,41.0
56,Female,161.0,51.0,38.0
45,Female,175.0,68.0,41.0
23,Female,173.0,61.0,39.0
34,Female,172.0,68.0,38.5
55,Female,170.0,60.0,39.0
21,Female,171.0,58.0,38.0
43,Female,176.0,87.0,42.0
22,Female,180.0,75.0,39.0
27,Female,165.0,80.0,40.0
53,Female,165.0,99.0,40.0
56,Female,158.0,70.0,38.0
50,Female,159.0,60.0,37.0
34,Female,184.0,75.0,42.0
47,Female,163.0,59.0,37.0
44,Female,172.0,78.0,39.0
54,Female,165.0,78.0,39.0
28,Female,176.0,65.0,39.0
58,Female,162.0,80.0,39.0
32,Female,168.0,47.0,37.0
26,Female,185.0,70.0,40.0
51,Female,168.0,63.0,38.0
26,Female,177.0,95.0,41.0
43,Female,165.0,75.0,37.0
58,Female,155.0,67.0,39.0
21,Female,170.0,69.0,40.0
37,Female,163.0,80.0,36.5
25,Female,170.0,67.0,40.0
41,Female,170.0,95.0,41.0
26,Female,173.0,65.0,39.0
41,Female,163.0,58.0,38.0
52,Female,168.0,64.0,38.0
55,Female,164.0,74.0,38.0
21,Female,170.0,56.0,39.0
21,Female,167.0,51.0,39.0
38,Female,174.0,59.0,39.5
36,Female,168.0,60.0,37.0
24,Female,172.0,71.0,39.0
47,Female,174.0,69.0,40.0
27,Female,169.0,67.0,38.0
60,Female,161.0,97.0,37.0
20,Female,176.0,63.0,41.0
50,Female,160.0,94.0,39.0
46,Female,170.0,76.0,38.0
30,Female,171.0,64.0,40.0
36,Female,160.0,55.0,37.0
31,Female,167.0,59.0,40.0
37,Female,178.0,70.0,41.0
23,Female,165.0,73.0,38.0
23,Female,186.0,74.0,43.0
24,Female,178.0,101.0,43.0
24,Female,168.0,55.0,37.0
34,Female,164.0,57.0,39.0
59,Female,177.0,73.0,42.0
35,Female,158.0,77.0,38.0
62,Female,170.0,84.8,40.0
35,Female,170.0,72.0,39.0
26,Female,183.0,82.0,41.0
36,Female,170.0,58.0,39.0
42,Female,162.0,79.0,38.0
19,Female,168.0,62.0,39.0
25,Female,173.0,58.0,40.0
36,Female,170.0,87.0,41.0
31,Female,180.0,67.0,39.0
43,Female,187.0,98.0,41.0
33,Female,160.0,58.0,37.0
22,Female,165.0,55.0,38.0
43,Female,165.0,59.0,40.0
19,Female,179.0,80.0,42.0
23,Female,178.0,70.0,39.0
33,Female,176.0,96.0,39.0
27,Female,168.0,58.0,38.0
60,Female,170.0,75.0,40.0
57,Female,165.0,100.0,40.0
23,Female,160.0,55.0,38.0
27,Female,183.0,65.0,41.0
47,Female,168.0,70.0,40.0
30,Female,174.0,63.0,38.0
20,Female,167.0,55.0,39.0
26,Female,173.0,73.0,39.0
33,Female,162.0,56.0,39.0
24,Female,155.0,46.0,36.0
59,Female,170.0,86.0,40.0
18,Female,184.0,61.0,40.0
37,Female,180.0,83.0,42.0
20,Female,181.0,68.0,42.0
41,Female,176.0,75.0,40.0
31,Female,169.0,63.5,40.0
47,Female,164.0,52.0,38.0
45,Female,172.0,69.0,39.0
21,Female,180.0,85.0,44.0
