Pants Size Waist,Cup Size,Bra Size NL
29,C,85
30,B,80
30,B,75
32,D,85
28,B,75
32,C,85
28,C,90
36,B,85
32,B,75
32,B,75
28,C,75
38,E,59
28,C,75
34,B,80
34,B,80
32,C,75
34,A,80
34,C,80
33,C,80
34,B,80
31,B,80
33,B,85
33,B,85
36,E,75
30,C,80
28,B,80
34,D,80
32,C,80
32,B,75
29,A,75
31,D,75
34,C,80
38,D,85
30,B,80
32,B,75
36,C,85
30,B,75
29,B,75
33,D,80
31,B,75
34,D,80
36,D,90
34,D,80
31,B,80
29,A,75
33,C,80
28,B,75
31,C,75
32,B,80
38,F,85
31,B,75
33,A,85
34,C,95
28,D,75
31,D,75
29,C,75
28,B,75
32,C,85
29,B,75
31,B,80
29,B,75
32,B,70
32,B,80
31,B,75
29,B,75
32,D,80
31,C,75
29,B,75
34,B,75
32,B,80
32,D,90
38,C,90
46,F,90
28,E,70
31,C,80
38,A,75
31,B,80
33,E,75
33,B,80
28,B,75
33,D,75
32,B,80
29,B,75
31,D,85
30,A,80
31,B,75
44,D,100
31,C,80
42,D,85
29,B,80
29,B,75
30,C,80
33,D,80
34,A,80
32,D,70
34,E,90
31,C,80
31,B,75
34,B,85
28,B,75
36,D,85
34,C,85
34,B,80
31,B,80
32,D,75
38,C,90
29,D,85
30,E,70
33,D,90
29,A,75
32,B,80
28,B,80
29,B,70
34,A,85
36,D,75
34,B,85
33,C,80
33,B,80
32,B,80
33,D,90
31,A,75
32,C,80
46,D,90
36,B,85
32,B,85
30,C,80
46,E,85
31,B,75
30,B,75
36,B,90
36,C,85
32,AA,80
36,A,90
30,B,75
31,B,75
36,C,90
30,B,75
32,B,75
34,B,85
33,B,75
34,D,80
28,C,75
36,B,80
32,C,80
30,C,75
29,A,75
38,C,85
32,B,80
31,C,85
32,A,75
28,B,70
34,C,80
38,E,90
28,A,70
31,E,80
40,B,100
36,D,85
32,B,75
29,A,75
34,E,90
36,E,80
32,C,85
29,B,80
34,D,90
30,E,80
46,B,85
28,D,75
29,D,80
32,D,80
40,F,90
29,B,75
38,B,80
31,D,80
36,D,90
33,B,85
38,D,95
29,A,75
32,A,80
29,B,75
31,B,80
31,B,75
30,B,75
34,C,85
33,C,75
38,B,85
42,D,90
33,C,80
30,B,85
32,B,85
30,A,75
34,F,80
32,E,85
29,C,75
28,F,90
28,B,70
32,A,75
33,A,70
36,F,80
33,B,85
36,B,75
32,C,80
36,D,80
32,D,70
38,D,95
29,B,75
30,B,75
30,D,75
34,B,85
30,B,75
34,C,75
32,B,80
29,C,75
33,B,80
32,D,85
32,E,75
40,E,95
30,B,75
46,C,90
34,D,80
32,C,75
28,B,70
28,B,75
32,C,80
32,C,85
32,C,75
36,D,90
28,B,75
28,E,85
34,A,85
36,C,85
37,C,85
34,B,80
33,B,75
28,A,75
36,C,90
32,C,75
29,B,75
38,B,85
30,B,75
36,C,95
28,B,75
29,B,75
29,A,80
32,C,80
31,D,80
40,E,95
29,A,75
32,D,85
42,E,95
29,C,75
31,B,85
32,A,80
31,B,80
28,B,85
36,D,75
29,B,75
34,B,75
36,B,80
28,B,75
34,B,80
30,C,75
33,C,80
30,A,80
29,A,75
32,C,75
30,B,75
