Age (Years),Gender,Reported Height (cm),Reported Weight (kg),Shoe Size NL
47,Male,195.0,110.0,46.0
48,Male,183.0,79.0,43.0
24,Male,180.0,85.0,41.0
36,Male,193.0,78.0,45.0
21,Male,186.0,84.0,43.0
32,Male,186.0,75.0,45.0
38,Male,188.0,105.0,46.0
54,Male,175.0,87.0,45.0
36,Male,197.0,105.0,46.0
41,Male,178.0,79.0,43.0
24,Male,206.0,110.0,47.0
39,Male,181.0,81.0,42.0
36,Male,202.0,98.0,47.0
25,Male,178.0,62.0,42.0
36,Male,183.0,92.0,44.0
37,Male,178.0,78.0,42.0
46,Male,185.0,78.0,45.0
46,Male,183.0,86.0,43.0
30,Male,175.0,63.0,42.0
52,Male,175.0,85.0,43.0
19,Male,183.0,65.0,43.0
25,Male,187.0,82.0,45.0
27,Male,202.0,90.0,45.0
53,Male,183.0,70.0,43.0
30,Male,192.0,75.0,42.0
25,Male,170.0,55.0,40.0
27,Male,189.0,85.0,42.0
59,Male,172.0,80.0,41.0
34,Male,182.0,85.0,42.0
50,Male,163.0,70.0,41.0
24,Male,188.0,74.0,43.0
44,Male,183.0,80.0,44.0
38,Male,185.0,75.0,42.0
54,Male,181.0,81.0,43.0
54,Male,172.5,64.0,41.0
36,Male,190.0,90.0,44.0
43,Male,191.0,98.0,46.0
46,Male,176.0,110.0,44.0
21,Male,179.0,67.0,41.0
35,Male,195.0,110.0,47.0
51,Male,174.0,76.0,42.0
22,Male,197.5,95.0,46.0
29,Male,183.0,71.0,42.0
31,Male,202.0,140.0,49.0
21,Male,192.0,84.0,44.0
60,Male,183.0,90.0,43.0
35,Male,182.0,100.0,42.0
58,Male,178.0,95.0,42.0
37,Male,184.0,110.0,44.0
26,Male,195.0,70.0,42.0
47,Male,193.0,90.0,46.0
60,Male,163.0,65.0,40.0
30,Male,176.0,83.0,43.0
55,Male,167.0,105.0,43.0
57,Male,183.0,96.0,44.0
52,Male,192.0,91.0,45.0
50,Male,177.0,80.0,44.0
24,Male,193.0,80.0,46.0
61,Male,187.0,110.0,44.0
55,Male,191.0,100.0,44.0
39,Male,179.0,80.0,42.5
54,Male,189.0,95.0,46.0
56,Male,165.0,98.0,43.0
20,Male,184.0,70.0,42.0
46,Male,173.0,75.0,41.0
23,Male,177.0,58.0,41.0
33,Male,175.0,80.0,42.0
56,Male,189.0,81.0,44.0
40,Male,186.0,120.0,46.0
47,Male,188.0,74.0,43.0
56,Male,169.0,71.0,40.0
37,Male,180.0,88.0,43.0
37,Male,190.0,74.0,45.0
48,Male,191.0,98.0,43.0
54,Male,173.0,80.0,42.0
50,Male,192.0,114.0,47.0
55,Male,167.0,85.0,40.0
33,Male,174.0,72.0,42.0
39,Male,183.0,105.0,43.0
40,Male,183.0,85.0,44.0
38,Male,187.0,104.0,44.0
53,Male,190.0,82.0,44.0
37,Male,188.0,100.0,45.0
54,Male,178.0,99.0,42.0
54,Male,178.0,94.0,42.0
63,Male,168.0,69.0,42.0
38,Male,186.0,70.0,43.0
39,Male,198.0,90.0,45.0
34,Male,205.0,100.0,47.0
32,Male,180.0,81.0,42.0
56,Male,178.0,75.0,40.0
50,Male,177.0,99.0,45.0
52,Male,180.0,85.0,41.0
40,Male,199.0,117.0,45.0
65,Male,172.0,77.0,41.0
46,Male,186.0,80.0,45.0
23,Male,191.0,92.0,43.0
60,Male,178.0,98.0,43.0
25,Male,179.0,77.0,43.0
51,Male,180.0,95.0,45.0
32,Male,184.0,100.0,45.0
33,Male,190.0,85.0,45.0
18,Male,180.0,70.0,42.0
43,Male,184.0,102.0,43.0
58,Male,172.0,118.0,42.0
38,Male,195.0,85.0,43.0
52,Male,170.0,98.0,43.0
47,Male,180.0,90.0,42.0
41,Male,175.0,78.0,41.0
48,Male,185.0,78.0,43.0
27,Male,183.0,78.0,41.0
36,Male,174.0,67.0,42.0
34,Male,181.0,78.0,42.0
61,Male,165.0,70.0,41.0
51,Male,195.0,90.0,45.0
33,Male,180.0,78.0,42.0
54,Male,164.0,53.0,38.0
29,Male,179.0,72.0,42.0
45,Male,181.0,110.0,45.0
30,Male,188.0,85.0,42.0
61,Male,177.0,76.0,43.0
51,Male,186.0,92.5,44.0
29,Male,178.0,64.0,42.0
56,Male,187.0,82.0,44.0
24,Male,185.0,96.0,43.0
33,Male,184.0,134.0,45.0
54,Male,185.0,95.0,44.0
52,Male,172.0,89.0,42.0
29,Male,178.0,95.0,42.0
25,Male,174.0,68.0,41.0
49,Male,179.0,110.0,42.0
48,Male,183.0,72.0,43.0
23,Male,192.0,105.0,45.0
28,Male,178.0,81.0,43.0
43,Male,175.0,79.0,44.0
46,Male,191.0,78.0,45.0
37,Male,172.5,59.0,39.0
21,Male,179.0,68.0,41.0
58,Male,174.0,75.0,41.0
43,Male,182.0,84.0,44.0
33,Male,176.0,70.0,42.0
34,Male,192.0,90.0,45.0
59,Male,178.0,80.0,45.0
59,Male,176.0,80.0,42.0
57,Male,181.0,70.0,43.0
47,Male,176.0,86.0,42.5
57,Male,180.0,90.0,43.0
46,Male,188.0,72.0,46.0
50,Male,178.5,87.0,44.0
