Jacket Size,Pants Size Waist
58,36
51,36
50,33
51,32
50,32
52,32
56,34
54,32
60,42
52,33
55,36
48,32
54,34
46,29
52,34
50,32
52,31
54,36
48,30
52,36
46,30
52,32
53,34
49,30
51,32
44,28
52,33
52,32
54,33
48,32
52,32
52,34
52,34
52,36
48,29
52,34
54,34
60,38
46,33
54,38
48,34
47,36
49,33
62,44
52,33
54,32
54,36
56,40
54,36
42,32
52,36
48,38
52,36
52,29
54,36
52,36
50,33
54,34
56,40
55,40
50,34
52,36
54,38
50,31
50,33
48,32
50,33
51,34
58,42
50,33
48,34
52,32
50,32
56,38
52,34
58,42
50,36
50,32
56,36
54,36
54,38
51,34
52,36
52,36
52,36
46,32
49,34
52,33
58,36
52,32
50,32
54,36
52,33
59,42
48,33
52,33
54,38
54,38
52,32
54,38
60,34
54,34
42,32
52,38
62,46
51,33
52,40
52,34
52,34
51,31
51,33
48,32
52,36
50,34
53,38
50,32
44,29
48,33
52,32
50,36
50,36
53,38
46,31
51,33
58,36
58,36
52,34
50,38
52,32
48,32
54,40
49,30
53,36
52,34
54,34
51,34
46,29
48,30
50,32
50,36
42,32
52,34
50,34
50,34
49,34
52,38
52,34
50,34
54,36
