Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,ratio,Inverted Triangle,Rectangle,Triangle,Weight (kg)
18.5,183,69,41,Rectangle,1.115671642,0,1,0,65.4
33,187,83,43,Inverted Triangle,1.194285714,1,0,0,85.2
41,182,85,43,Inverted Triangle,1.241420118,1,0,0,80.9
35,195,110,47,Rectangle,1.112962963,0,1,0,112.9
21.9,177,57,43,Inverted Triangle,1.177070064,1,0,0,56.6
23.8,175,85,43,Inverted Triangle,1.188811189,1,0,0,82.6
36.4,168,66,40,Inverted Triangle,1.204804046,1,0,0,65.5
44.2,171,82,41,Rectangle,1.111111111,0,1,0,81.8
43,185,69,44,Triangle,1.085846868,0,0,1,71
20,187,77,43,Rectangle,1.160479042,0,1,0,77
20.2,175,56,41.5,Inverted Triangle,1.250368189,1,0,0,53.2
29,175,80,41,Rectangle,1.116461366,0,1,0,81.6
39,198,90,45,Triangle,1.094580234,0,0,1,90
45,180,70,41,Rectangle,1.142150803,0,1,0,68
22.7,163,55,39,Inverted Triangle,1.239189189,1,0,0,59
23,196,102.7,46,Triangle,1.081053698,0,0,1,102.8
18.8,165,63,40.5,Inverted Triangle,1.234013605,1,0,0,61.9
35,173,69,40,Rectangle,1.160138249,0,1,0,69
32,180,81,42,Inverted Triangle,1.214788732,1,0,0,80
22.2,186,66,42.5,Inverted Triangle,1.275510204,1,0,0,63.8
45.1,170,68,41,Triangle,1.06015891,0,0,1,70.8
28,170,70,42,Inverted Triangle,1.223602484,1,0,0,70.5
54.5,172,74,41.5,Triangle,1.092427617,0,0,1,74.4
22.4,180,69,39.5,Inverted Triangle,1.213157895,1,0,0,68.6
30,182,77,44,Inverted Triangle,1.214716526,1,0,0,75.5
30,185,78,43,Rectangle,1.157384988,0,1,0,75.5
34,182,85,42,Inverted Triangle,1.181043663,1,0,0,86.3
39.4,170,78,42,Inverted Triangle,1.248853211,1,0,0,81
25,178,62,42,Rectangle,1.142380423,0,1,0,78.8
20,186,66,42.5,Rectangle,1.141570142,0,1,0,63.6
29.6,176,60,41,Rectangle,1.166002656,0,1,0,59.6
29.4,177,80,40,Triangle,1.079868709,0,0,1,80
19.6,185,85,43.5,Inverted Triangle,1.201111111,1,0,0,86.5
20.5,169,66,43,Rectangle,1.161048689,0,1,0,67.4
23,185,83,45,Inverted Triangle,1.273045508,1,0,0,83.6
19.8,175,70,42.5,Inverted Triangle,1.179802956,1,0,0,69.9
47,180,90,42,Rectangle,1.163793103,0,1,0,89.9
23,186,70,44,Inverted Triangle,1.20754717,1,0,0,70.5
23.7,186,75,43.5,Inverted Triangle,1.295828066,1,0,0,72.2
38,188,105,46,Triangle,1.079737336,0,0,1,107
19,180,76,43,Rectangle,1.128961749,0,1,0,78.4
22.6,170,60,42,Inverted Triangle,1.20794702,1,0,0,59
33,175,80,42,Triangle,1.095341278,0,0,1,82.7
24,180,85,41,Inverted Triangle,1.21386604,1,0,0,86.7
24.8,177,75,43,Inverted Triangle,1.190184049,1,0,0,77.5
39,175,69,43,Inverted Triangle,1.186548223,1,0,0,65.4
61,187,110,44,Triangle,1.041785375,0,0,1,98.2
54,181,81,43,Triangle,1.033402923,0,0,1,81.2
29,193,77,45,Inverted Triangle,1.340053763,1,0,0,72.8
