"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
804.0,864.0,474.0,940.0,792.0,527.0,467.0,1011.0,636.0,897.0,65.4,76.0,83.0
875.0,1032.0,468.0,1029.0,860.0,613.0,504.0,1087.0,653.0,1045.0,85.2,69.6,94.46
845.0,1033.0,511.0,1011.0,864.0,569.0,498.0,1055.0,622.0,1049.0,80.9,61.51,80.36
1080.0,1210.0,494.0,1122.0,912.0,647.0,519.0,1156.0,655.0,1202.0,112.9,81.5,96.0
785.0,870.0,455.0,871.0,838.0,477.0,419.0,1006.0,623.0,924.0,56.6,74.0,88.0
858.0,1004.0,514.0,1037.0,818.0,609.0,469.0,979.0,628.0,1020.0,82.6,60.0,78.0
791.0,946.0,483.0,938.0,746.0,553.0,433.0,980.0,597.0,953.0,65.5,64.0,67.0
954.0,1069.0,491.0,998.0,767.0,549.0,460.0,984.0,632.0,1060.0,81.8,72.0,81.0
862.0,918.0,497.0,944.0,858.0,546.0,447.0,1069.0,647.0,936.0,71.0,72.12,87.93
835.0,940.0,473.0,1022.0,814.0,609.0,464.0,1040.0,628.0,969.0,77.0,63.37,87.22
679.0,822.0,452.0,886.0,805.0,470.0,430.0,1020.0,643.0,849.0,53.2,66.0,71.0
893.0,998.0,484.0,1025.0,794.0,595.0,447.0,1007.0,612.0,997.0,81.6,68.98,85.15
941.0,1030.0,495.0,1017.0,926.0,600.0,477.0,1141.0,669.0,1030.0,90.0,81.24,92.4
809.0,891.0,464.0,938.0,842.0,558.0,444.0,1071.0,626.0,924.0,68.0,67.71,86.76
740.0,877.0,479.0,883.0,735.0,535.0,434.0,939.0,568.0,917.0,59.0,66.0,71.0
