"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
766.0,815.0,458.0,950.0,751.0,545.0,407.0,934.0,618.0,850.0,70.0,78.0
875.0,1032.0,468.0,1029.0,860.0,613.0,504.0,1087.0,653.0,1045.0,69.6,94.46
826.0,944.0,454.0,1000.0,843.0,615.0,443.0,1112.0,603.0,956.0,71.5,89.5
757.0,820.0,442.0,880.0,810.0,518.0,422.0,998.0,613.0,810.0,73.0,80.0
807.0,961.0,490.0,955.0,815.0,546.0,443.0,1051.0,656.0,977.0,68.0,86.0
790.0,907.0,449.0,987.0,926.0,560.0,443.0,1194.0,656.0,912.0,63.97,80.03
814.0,936.0,478.0,967.0,797.0,547.0,447.0,1015.0,625.0,941.0,70.0,86.0
898.0,985.0,501.0,1023.0,834.0,585.0,495.0,1027.0,657.0,995.0,66.0,83.0
824.0,906.0,458.0,1003.0,875.0,599.0,478.0,1064.0,641.0,957.0,74.16,97.0
1082.0,1195.0,496.0,1065.0,770.0,602.0,540.0,1005.0,617.0,1156.0,67.58,83.49
836.0,918.0,478.0,928.0,797.0,547.0,449.0,1024.0,590.0,938.0,74.0,103.69
806.0,885.0,481.0,987.0,815.0,578.0,434.0,1040.0,650.0,925.0,76.0,88.0
785.0,907.0,458.0,940.0,810.0,540.0,460.0,1002.0,625.0,948.0,68.0,79.0
735.0,920.0,450.0,940.0,783.0,554.0,469.0,1024.0,650.0,960.0,66.0,76.0
814.0,899.0,482.0,1006.0,798.0,567.0,438.0,1039.0,658.0,949.0,74.0,94.0
987.0,1085.0,527.0,1131.0,925.0,655.0,504.0,1160.0,701.0,1067.0,76.07,99.27
855.0,920.0,467.0,1016.0,803.0,605.0,436.0,990.0,641.0,928.0,57.0,71.0
879.0,989.0,461.0,1034.0,937.0,592.0,468.0,1153.0,677.0,1034.0,73.28,87.58
852.0,1023.0,481.0,983.0,871.0,579.0,473.0,1070.0,653.0,1035.0,61.35,84.64
1054.0,1129.0,497.0,1101.0,824.0,670.0,480.0,1057.0,643.0,1119.0,64.65,92.82
841.0,1014.0,465.0,997.0,784.0,619.0,499.0,998.0,652.0,1071.0,73.0,75.0
826.0,965.0,490.0,930.0,794.0,556.0,427.0,995.0,620.0,967.0,68.0,85.0
932.0,1112.0,508.0,1057.0,925.0,609.0,489.0,1168.0,688.0,1073.0,74.66,93.12
895.0,1025.0,480.0,977.0,785.0,597.0,490.0,1039.0,622.0,1022.0,74.0,82.0
